,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,789182213,iPhone 6 s plus 64 gb T Mobile,180,Used (normal wear),No description. Ask seller for more details,2,Local pickup (23 miles away),No shipping INFO!,23.0,,,"San Diego, CA",San Diego, CA,3 minutes 
1,789171399,iPhone 6+,250,New (never used),Brand new only been out the box to showcase,2,Local pickup (88 miles away),Ships for $7.49,88.0,,7.49,"Ontario, CA",Ontario, CA,22 minutes 
2,788744506,Apple iPhone 7 16gb with 6 case,200,Used (normal wear),"Apple iPhone rose gold 16gb with iphone 6 cases. Was my daughters, since upgraded.  Works perfect.  ",5,Local pickup (21 miles away),No shipping INFO!,21.0,,,"Chula Vista, CA",Chula Vista, CA,17 hours 
3,788706949,Apple iPhone 6 - 64GB,Sold!,Used (normal wear),Apple iPhone 6 - 64GB - White/SilverUNLOCKED VERY GOOD Condition. Bought this phone new from Apple Store Last Year in November.  Microscopic chip on bottom left corner.Local Buyer Only - Cash only - must be willing to meet somewhere local. Includes charging cable and Apple box and glass screen protector. Price Firm 160$ (will ignore any lower offers)Thank you,2,Local pickup (13 miles away),No shipping INFO!,13.0,,,"San Diego, CA",San Diego, CA,21 hours 
4,788644067,Assorted iPhone 6 plus/ 7 plus/ 8 plus,98,Open box (never used),Take all for $98 ($3.50 / case),4,Local pickup (12 miles away),Ships for $10.99,12.0,,10.99,"San Diego, CA",San Diego, CA,1 day 
5,788641284,Assorted iPhone 6/6s/7/8 Cases,98,Open box (never used),Take all for $98  ($3.50 /case ),5,Local pickup (12 miles away),Ships for $10.99,12.0,,10.99,"San Diego, CA",San Diego, CA,1 day 
6,789171769,Iphone 6 plus UNLOCKED 64GB,200,Other (see description),This phone is like new. No scratches on the screen or the phone. Phone has been color customized with the back being red. Clean esn ready for activation. Comes with all accessories in the picture. Please don't contact for trades or anything other than meeting in person. ,8,No delivery INFO!,"Ships from Las Vegas, NV for $7.49",,"Las Vegas, NV",7.49,"Las Vegas, NV",Las Vegas, NV,1 hour 
7,788491235,iphone 6 plus,120,Used (normal wear),24 gb sprint ,4,Local pickup (20 miles away),No shipping INFO!,20.0,,,"El Cajon, CA",El Cajon, CA,1 day 
8,788243501,iPhone 6 S+,300,Used (normal wear),"Very good,working great,No issues,like new, no scratches,has cassette,unlocked.",4,Local pickup (26 miles away),No shipping INFO!,26.0,,,"Escondido, CA",Escondido, CA,2 days 
9,788173073,iPhone X,520,Used (normal wear),The phone has been in iPhone case with screen protector it’s whole life. Got it 6 months ago. Don’t use it anymore. Clean IMEI. 64GBGreat condition.  520$ obo T-Mobile works with metro/cricket. Can test before you buy with cash in hand.  ,1,Local pickup (14 miles away),No shipping INFO!,14.0,,,"San Diego, CA",San Diego, CA,2 days 
10,787974043,iPhone 6 S Plus,220,Used (normal wear),Big size perfect for work or study 32 gb unblocked ,1,Local pickup (24 miles away),No shipping INFO!,24.0,,,"San Diego, CA",San Diego, CA,2 days 
11,787609205,iPhone 6 16GB (White) Like new • Unlocked for any carrier • Charger and cable • Hablo español,149.99,Used (normal wear),"• 100% original, not refurbished, no ghost screen, optimal battery, no problems.• Factory unlocked, works with any company, you can do updates.• Charger and data cable.• Warranty.• Sorry no trades or buys.• Serious buyer, safe buy.• San ysidro/Chula Vista/Tijuana",7,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Chula Vista, CA",Chula Vista, CA,3 days 
12,789115832,IPHONE 6 64GB UNLOCK,140,Used (normal wear),"UNLOCK  APPLE IPHONE 6  64GB WORKS WITH ANY CARRIER(AT&T,VERIZON,T-MOBILE ,METRO PCS, CRICKET WIRELESS)CHARGER INCLUDEDEXCELLENT CONDITION                **Hablo español**Ignore : iphone, Samsung, galaxy, Apple, carrier,tablet,laptop,phone, Samsung note, iMac, iphone 8, iphone 6 , galaxy note, galaxy tab, iphone 7, 6s , iphone plus",3,Local pickup (5 miles away),No shipping INFO!,5.0,,,"San Diego, CA",San Diego, CA,4 hours 
13,788869469,iPhone 6 plus,150,Used (normal wear),"64gb storage, iCloud unlocked and unlocked for any carrier, needs camera replacement but apart from that everything works well along with touch id, 130 is the lowest",8,Local pickup (24 miles away),No shipping INFO!,24.0,,,"San Diego, CA",San Diego, CA,12 hours 
14,789157797,B F Sale - (50 pack) 6 Foot iPhone Charger Cables,125,New (never used)," Brand New in Box (2M = 6 Foot)EXCELLENT POINT OF SALE, UPSELL ITEM( PLEASE SEE ALL MY LISTINGS)(50) for $125while supplies lastHonestTech Superior customer serviceDeal with 1 person that does this full-time.FAST SHIPPINGBUY WITH CONFIDENCEI GUARANTEE what I sell against defect for 90 daysRefund or replaceIt will sync, it will work, PERIOD !!!(Even after updates)How can I serve you today....?",5,No delivery INFO!,"Ships from Hampton, VA for $10.99",,"Hampton, VA",10.99,"Hampton, VA",Hampton, VA,2 hours 
15,788685189,iPhone 6 Plush 16gb Unlocked,150,Used (normal wear),iPhone 6 plush 16gb Unlocked No ICloud In Good Conditions.Restore to Factory SettingsNo issues Everything works ,10,Local pickup (15 miles away),No shipping INFO!,15.0,,,"El Cajon, CA",El Cajon, CA,1 day 
16,788594493,iPhone 6 Boost Mobile Locked,90,Used (normal wear),iPhone 6 without charger ,1,Local pickup (14 miles away),No shipping INFO!,14.0,,,"Encinitas, CA",Encinitas, CA,1 day 
17,788490761,iPhone 6 16gb unlocked,140,Used (normal wear),iPhone 6 16gb unlocked $140,2,Local pickup (21 miles away),No shipping INFO!,21.0,,,"San Marcos, CA",San Marcos, CA,1 day 
18,788348562,Apple iPhone 6 16gb Silver A1549 GSM Unlocked *WORKS PERFECTLY*,100,Used (normal wear),All functions of the phone work great. Never any water damage. No screen cracks or chips.  Not Linked to an iCloud account (no icloud lock).  Everything works properly. Phone has been wiped and reset ready for use by a new owner.GSM att at&t Tmobile t-mobile,5,Local pickup (5 miles away),Ships for $10.99,5.0,,10.99,"San Diego, CA",San Diego, CA,2 days 
19,788252756,iPhone 6,90,Used (normal wear),iPhone 6 with accessories. Factory reset; ready for iCloud set up. Front screen is cracked (see photo). Any questions just ask!,3,Local pickup (12 miles away),No shipping INFO!,12.0,,,"San Diego, CA",San Diego, CA,2 days 
20,788162475,Apple Iphone 6 16Gb Factory Unlocked Any Carrier,135,Used (normal wear),"Good Battery Life and Clean IMEI, not reported stolen. We offer warranty on all of our devices.All of our phones are used but in great Shape! Factory unlocked which means you can put any Sim Card  with service and it will work.Comes with:House chargerBuy with Confidence ",8,Local pickup (15 miles away),Ships for $7.49,15.0,,7.49,"National City, CA",National City, CA,2 days 
21,787904522,iPhone screen Replacement,99999,New (never used),iPhone 6iPhone 6 plusiPhone 7 iPhone 7 plusiPhone 8 iPhone 8 plus iPad Samsung s9 Samsung s8 ,3,Local pickup (9 miles away),No shipping INFO!,9.0,,,"San Diego, CA",San Diego, CA,3 days 
22,784233858,Samsung galaxy note 8 unlocked,349,Used (normal wear),"Mint Condition Works With any AT&T , Tmobile, Verizon, Cricket, Metro Network and Overseas.We have in stock, iPhone 6 - $150  | iPhone 7 - $249  | iPhone 7 Plus - $349iPhone 8 - $349  | iPhone 8 Plus - $449 Samsung S8 - $249 |   S8 Plus - $349Samsung S9 - $349 |   S9 Plus  - $399Samsung Note 8 - $349  |  Note 9 - $449 Comes with warranty Call us or stop by  Our store address :Payless Wireless6074 EL Cajon Blvd San Diego, CA - 92115",8,Local pickup (11 miles away),No shipping INFO!,11.0,,,"San Diego, CA",San Diego, CA,1 week 
23,788890223,Unblocked IPhone 6 Plus,140,Used (normal wear),"64 gb iPhone 6 Plus, it’s unlocked for any carrier so you can use it on whichever company you have, the phone is not iCloud locked or black listed so it has a clean imei, the phone is in perfect condition except for the camera for taking selfies message me for more detailsHablo español también ",8,Local pickup (24 miles away),No shipping INFO!,24.0,,,No location INFO!,,,12 hours 
24,788852503,Iphone 6,140,Used (normal wear),"32G , unlocked  works good",2,Local pickup (22 miles away),No shipping INFO!,22.0,,,"Chula Vista, CA",Chula Vista, CA,13 hours 
26,788517152,iPhone 6 16GB Great condition • Unlocked for any company • Charger and box • Hablo español,149.99,Used (normal wear),"• 100% original, not refurbished, no ghost screen, optimal battery, no problems.• Factory unlocked, works with any company, you can do updates.• Charger and data cable.• Warranty.• Sorry no trades or buys.• Serious buyer, safe buy.• San ysidro/Chula Vista/Tijuana",9,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Chula Vista, CA",Chula Vista, CA,1 day 
