,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,789692546,iPhone 6s Plus 64gb,160,Used (normal wear),Unlocked to any carrier iPhone 6s Plus 64gb,3,Local pickup (14 miles away),No shipping INFO!,14.0,,,"La Mesa, CA",La Mesa, CA,25 minutes 
1,789587760,Iphone 6s,90,Used (normal wear),Unlocked iPhone 6s 16GB. iPhone works great no issues.Screen has some scratches but no cracks.,3,Local pickup (17 miles away),No shipping INFO!,17.0,,,"Spring Valley, CA",Spring Valley, CA,4 hours 
2,789446071,iPhone 6s Plus,Sold!,Other (see description),Half of the screen is a little dark.,3,Local pickup (13 miles away),No shipping INFO!,13.0,,,"La Mesa, CA",La Mesa, CA,7 hours 
3,789324502,Iphone 6s PLUS 32gb AT&T only,Sold!,Used (normal wear),Iphone 6s PLUS 32gb for AT&T in excellent condition. No cracks. No icloud lockClean esn ready for activation with AT&T.,8,Local pickup (21 miles away),No shipping INFO!,21.0,,,"San Marcos, CA",San Marcos, CA,10 hours 
4,789243368,iPhone 6s Plus 16 gb,180,Used (normal wear),"Open to any carrier,,, TELCEL OBAMA phone Metro PCs T-Mobile atytVerizon ",5,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Chula Vista, CA",Chula Vista, CA,12 hours 
5,789177431,Cracked iPhone 6s,125,Used (normal wear),It’s not normal wear but it’s not for parts. It’s cracked but works fine you can get the screen fixed for around 30 bucks. Doesn’t come with charger.Setting the price decent but I’m willing to find a good offer if possible ,2,Local pickup (25 miles away),No shipping INFO!,25.0,,,"Vista, CA",Vista, CA,20 hours 
6,789068144,iPhone 6s $180,180,Used (normal wear),Basically brand new no cracks or scratches on the screen .$180 .. I bought at sprint ,2,Local pickup (25 miles away),No shipping INFO!,25.0,,,"Oceanside, CA",Oceanside, CA,1 day 
7,788927201,iPhone 6s 16gb Unlocked for any Carrier,175,Used (normal wear),"Used Silver/White iPhone 6s 16gb Model A1688 GSM/CDMA Works great any carrier Message me if you have any questionsNo cracks on screen, No password and iCloud free",2,Local pickup (23 miles away),No shipping INFO!,23.0,,,"San Marcos, CA",San Marcos, CA,1 day 
8,788836966,Iphone 6s,145,Used (normal wear),Almost like new Works good With two cases (portable case) Rose gold 32g Just need unlock sim ,5,Local pickup (21 miles away),No shipping INFO!,21.0,,,"Chula Vista, CA",Chula Vista, CA,1 day 
9,789682293,IPHONE 6S PLUS AT&T AND CRICKET 128g,160,Used (normal wear),Works great perfect condition works for AT&T and cricket 128g,3,Local pickup (25 miles away),No shipping INFO!,25.0,,,"San Diego, CA",San Diego, CA,53 minutes 
10,789605670,Unlocked iPhone 6s 32gb,95,Used (normal wear),Clean IMEI32gb storageNormal wear and tearLocal cash onlyPickup only,2,Local pickup (3 miles away),No shipping INFO!,3.0,,,"San Diego, CA",San Diego, CA,3 hours 
11,789475819,iPhone 6S PLUS Brand new,275,New (never used),iPhone 6s Plus Brand new32gbsUnlocked,1,Local pickup (10 miles away),No shipping INFO!,10.0,,,"San Diego, CA",San Diego, CA,7 hours 
12,789473396,NEW iPhone 6s space grey 32gb’s,225,New (never used),Brand new iPhone 6s Unlocked32gbsComes with box and everything in box,1,Local pickup (10 miles away),No shipping INFO!,10.0,,,"San Diego, CA",San Diego, CA,7 hours 
13,789441204,iPhone 6s Plus,Sold!,Other (see description),Half of the screen is dark.,2,Local pickup (13 miles away),No shipping INFO!,13.0,,,"La Mesa, CA",La Mesa, CA,8 hours 
14,789323092,Pro scooter,Sold!,Used (normal wear),It runs smooth its dyled need gone asap best offer takes it looking for 80 $ or trade for iPhone 6 or the 6s,2,Local pickup (16 miles away),No shipping INFO!,16.0,,,"National City, CA",National City, CA,10 hours 
15,789108406,iPhones 6S + 64 GB,200,Used (normal wear),Good iPhone is unlocked to any carrier,3,Local pickup (15 miles away),No shipping INFO!,15.0,,,"San Diego, CA",San Diego, CA,1 day 
16,789032579,iPhone 6s,100,Used (normal wear),Selling my old Iphone 6s. Rose gold. 64gb. Has cracks (all shown in pictures). - NO BOX- NO CHARGER. Just phone. Message me if you have any questions :),5,Local pickup (22 miles away),No shipping INFO!,22.0,,,"San Diego, CA",San Diego, CA,1 day 
17,788890364,iPhone 6s 32GB brand new never opened,300,New (never used),"Brand new iPhone 6s 32gb space grey, never opened still in original packaging. Asking $300 obo. ",3,Local pickup (14 miles away),No shipping INFO!,14.0,,,"San Diego, CA",San Diego, CA,1 day 
19,789666896,iPhone 6s 32GB color pink,200,Used (normal wear),Good condition unlocked ,4,Local pickup (87 miles away),Ships for $7.49,87.0,,7.49,"Fontana, CA",Fontana, CA,1 hour 
20,789575984,iPhone 6s Plus 32gb at&t ONLY,200,Used (normal wear),iPhone 6s Plus 32gb at&t ONLY $200 FIRM NO LESS ,2,Local pickup (22 miles away),No shipping INFO!,22.0,,,"Vista, CA",Vista, CA,4 hours 
21,789475646,iPhone 6s Plus,Sold!,Used (normal wear),iPhone 6s Plus 16gb comes with charger and boxFor t-mobile and metroPCS I can meet up at your carrier store nearby where I live ,9,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Chula Vista, CA",Chula Vista, CA,7 hours 
22,789270758,iPhone 6s Plus,200,Used (normal wear),In good working condition with normal wear. Gold . Always well kept.clean imei not stolen or locked. Original screen no cracks. The crack seen is from screen protector,3,Local pickup (15 miles away),No shipping INFO!,15.0,,,"El Cajon, CA",El Cajon, CA,11 hours 
23,789181274,unlock iphone 6s 16gb verizon,120,Used (normal wear),Everything works iCloud removed Great phone to use for kids or replacement phone to get by iPhone 6s 16 rose gold great condition no cracks Any SIM card works even mexico120$$ Best offer No trades or low ballers Thank you ,5,Local pickup (16 miles away),No shipping INFO!,16.0,,,"San Diego, CA",San Diego, CA,20 hours 
24,789057226,iPhone 6s Plus 16gb,Sold!,Other (see description),iPhone 6s Plus 16gb comes with charger and boxFor t-mobile and metroPCS I can meet up at your carrier store nearby where I live ,10,Local pickup (25 miles away),No shipping INFO!,25.0,,,"San Diego, CA",San Diego, CA,1 day 
25,788900671,iPhone 6s Rose Gold,150,Used (normal wear),No cracks or scratches all I gotta say,2,Local pickup (13 miles away),No shipping INFO!,13.0,,,"San Diego, CA",San Diego, CA,1 day 
26,789644858,iPhone 6s Plus READ Description,160,Other (see description),iPhone 6s Plus 16gb comes with charger and box $160 For t-mobile and metroPCS I can meet up at your carrier store nearby where I live ,8,Local pickup (24 miles away),No shipping INFO!,24.0,,,"San Diego, CA",San Diego, CA,2 hours 
27,789606639,Unlocked iPhone 6s 32gb,95,Used (normal wear),Clean IMEI32gb storageNormal wear and tearLocal cash onlyPickup only,2,Local pickup (3 miles away),No shipping INFO!,3.0,,,"San Diego, CA",San Diego, CA,3 hours 
28,789534029,Perfect condition iPhone 6S Plus,175,Used (normal wear),Perfect condition iPhone 6S Plus Comes with clear silicon case Carrier: T-Mobile Asking for $175.00 OBO! ,7,Local pickup (21 miles away),No shipping INFO!,21.0,,,"Vista, CA",Vista, CA,5 hours 
29,789451393,Sprint IPhone 6s Rose Gold,175,Used (normal wear),Rose gold. New battery! No cracks or water damage. Sprint IPhone. Case included.,2,Local pickup (16 miles away),No shipping INFO!,16.0,,,"Spring Valley, CA",Spring Valley, CA,7 hours 
