,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,789185479,Google Pixel 2 64GB Unlocked,175.0,Used (normal wear),Unlocked Google Pixel 2 64GB Unlocked and ready for use! Comes with charger and an OtterBox case (case is heavily used but still works).,4,Local pickup (4 miles away),No shipping INFO!,4.0,,,"San Diego, CA",San Diego, CA,25 minutes 
1,788179890,Unlocked Google Pixel 2 64 GB in good condition,210.0,Used (normal wear),Unlocked Google Pixel 2 64 GB great condition No cracks! A few scuffs from normal wear and tear. Works perfectly fine ,1,Local pickup (a mile away),No shipping INFO!,1.0,,,"San Diego, CA",San Diego, CA,2 days 
2,785969291,Google Pixel 3 (64 GB),400.0,Used (normal wear),Selling my Google Pixel 3. It’s the 64BG. Only selling because my company just bought me 2 new IPhone 11’s. Asking $400 ,5,Local pickup (22 miles away),No shipping INFO!,22.0,,,"Carlsbad, CA",Carlsbad, CA,6 days 
3,769772098,Google pixel 2 128GB,300.0,Used (normal wear),Google pixel 128 GB amazing condition just upgraded no need for this to sit in the drawer collect dust works perfectly fine unlocked I had it hooked up to TMobile can go any other carrier except for Verizon will factory reset when boughtWell come with one case and OtterBox case  and charger$300obo,4,Local pickup (17 miles away),No shipping INFO!,17.0,,,"Spring Valley, CA",Spring Valley, CA,1 month 
4,765667697,Google pixel 2,105.0,Used (normal wear),Like a new !9/10the phone  camera is not working!,2,Local pickup (16 miles away),No shipping INFO!,16.0,,,"San Diego, CA",San Diego, CA,1 month 
5,735772142,Google pixel 2,165.0,Used (normal wear),Works perfectly screen has no cracks slight damage on back side but with case in you can’t see it. Carrier unlocked ,4,Local pickup (44 miles away),No shipping INFO!,44.0,,,"San Clemente, CA",San Clemente, CA,3 months 
6,724256475,Google pixel 2 xl,250.0,Used (normal wear),Hi selling Google Pixel 2 xl adult own well taking care of no dents or scratches on screen has glass screen protector 64 gig unlocked for any carrier.,7,Local pickup (12 miles away),No shipping INFO!,12.0,,,"San Diego, CA",San Diego, CA,3 months 
7,682599912,G🐼🐼GLE PANDA ORANGE NOSE PIXEL 2 XL AWESOME,300.0,Used (normal wear),Google pixel 2 XL the Panda version with the orange nose it is in  mint condition 64 GB unlocked and has the best camera on the market saying all the critics all sales are final upon inspection all offers are considered and please no lowballing thank you,4,Local pickup (42 miles away),No shipping INFO!,42.0,,,"Temecula, CA",Temecula, CA,6 months 
8,669848588,Google pixel 2 small version,500.0,Used (normal wear),"I am selling this phone, i was going to spend $200.00 to get it fix and d but i could use the money, the screen needs to be fixed it went black after i steped on it, the phone works great but i need to sell as is so i am willing to negotiate. I have jad the phone for close to 2 years. Questions, please ask. The phone cost new 800 bucks. I will also include the case and it dose have the charger. ",5,Local pickup (25 miles away),Ships for $3.29,25.0,,3.29,"San Diego, CA",San Diego, CA,7 months 
9,789034011,Google pixel 2 xl unlocked 64 gb,230.0,Used (normal wear),Hey so I'm selling my Google Pixel 2 XL. I got this directly from Google itself and it's Verizon unlocked. I can upload pics of the phone without the case if you ask. It's just a pain in the ass to remove this case that's all. I've kept it in a unicorn case since I bought it and I've never taken it out so any scratches you see are going to be on the screen protector and not on the phone. It is at least 9.5 out of 10 clean and if it isn't then you can have the phone for free lol. I used the phone for about 5 months and now I'm just trying to upgrade to the Pixel 4 XL since it just came out. Google wants this phone back for 150 bucks so I'm trying to get a better price than they're offering so please know low balls.,2,Local pickup (11 miles away),No shipping INFO!,11.0,,,"San Diego, CA",San Diego, CA,8 hours 
10,785207767,Google Pixel 2,300.0,Used (normal wear),It's in excellent condition! Have an otter box and the box for it. It's unlocked and ready to go,1,Local pickup (22 miles away),No shipping INFO!,22.0,,,"El Cajon, CA",El Cajon, CA,1 week 
11,773722979,Google pixel 2 xl,150.0,Used (normal wear),64 gb great condition small crack nothing major unlocked to any company ,2,Local pickup (22 miles away),No shipping INFO!,22.0,,,"El Cajon, CA",El Cajon, CA,4 weeks 
12,769256949,Google Pixel 2,225.0,Reconditioned/Certified,"Selling my Google Pixel 2 (64gb, Kinda Blue). Unlocked for all carriers.It's in excellent working/cosmetic condition and has been in a Spigen case with a tempered glass screen protector since I bought it. No dings, dents, cracks or scratches. I'm including all original accessories, case, screen protector in the price.$225obo. Cash only, local meet up. Thanks for looking!",4,Local pickup (6 miles away),No shipping INFO!,6.0,,,"San Diego, CA",San Diego, CA,1 month 
13,755248310,Like New without Box Razer 2 Gaming Smartphone with case & glass screen Protector,400.0,Used (normal wear),"Like New without Box Razer 2 Gaming Smartphone with case & glass screen Protector.  Comes with charging Block, Type C to Type C charging cable.8GB RAM64GB ROMGoogle Pixel 3 Camera Software Loaded120Hz fresh Rate4K Screen Wireless ChargingQ.C. 4.0. Dual Front Facing Dolby Speakers.Plus comes with Spigen CaseAnd Glass Screen Protector.Retail was 799.99400.00",3,Local pickup (13 miles away),Ships for $3.29,13.0,,3.29,"San Diego, CA",San Diego, CA,2 months 
14,733824215,Google pixel 2,280.0,Used (normal wear),"Perfect conditions, unlocked can be use in any company. Pick up only. Open to trade send a massage if you have something good to trade in.",6,Local pickup (24 miles away),No shipping INFO!,24.0,,,"San Diego, CA",San Diego, CA,3 months 
15,709408277,Google pixel 2 blue with protective case,185.0,Used (normal wear),This is the true blue pixel 2 by Google it has 128 GB of data storage comes with a brand new Xena detective case still in the box and has one of the best cameras on the market unlocked for any carrier,4,Local pickup (40 miles away),No shipping INFO!,40.0,,,"Temecula, CA",Temecula, CA,4 months 
16,649218869,Google pixel 2,400.0,New (never used),Brand new unlocked for any carrier Pixel 2 64 ,3,Local pickup (21 miles away),No shipping INFO!,21.0,,,"El Cajon, CA",El Cajon, CA,8 months 
17,635613910,Google pixel 2 xl,300.0,Used (normal wear),Unlocked flawless,1,Local pickup (20 miles away),No shipping INFO!,20.0,,,"El Cajon, CA",El Cajon, CA,9 months 
