,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,789696923,Unlocked Samsung Galaxy s9 +,580,Open box (never used),"Unlocked Samsung Galaxy s9+. Got it from Best Buy. Prefect condition. Comes with a very good case. Its from ""Mous"" search their cases up, they are very good. ",4,Local pickup (16 miles away),No shipping INFO!,16.0,,,"El Cajon, CA",El Cajon, CA,28 minutes 
1,789184853,Samsung galaxy s9 plus,350,Used (normal wear),"Perfect conditions, will include charger and case. Phone is already unblocked ready to use with any carrier. Purple color. ",2,Local pickup (24 miles away),No shipping INFO!,24.0,,,"Chula Vista, CA",Chula Vista, CA,19 hours 
2,788828491,Samsung Galaxy S9 plus 64Gb Purple Factory Unlocked,365,Used (normal wear),"Good Battery Life and Clean IMEI, not reported stolen. We offer warranty on all of our devices.All of our phones are used but in great Shape! Factory unlocked which means you can put any Sim Card  with service and it will work.Comes with:House chargerBuy with Confidence ",4,Local pickup (17 miles away),No shipping INFO!,17.0,,,"Chula Vista, CA",Chula Vista, CA,1 day 
3,788301738,Samsung Galaxy S9 plus 64Gb Blue Factory Unlocked Any Carrier,Sold!,Used (normal wear),"Good Battery Life and Clean IMEI, not reported stolen. We offer warranty on all of our devices.All of our phones are used but in great Shape! Factory unlocked which means you can put any Sim Card  with service and it will work.Comes with:House chargerBuy with Confidence ",4,Local pickup (16 miles away),No shipping INFO!,16.0,,,"National City, CA",National City, CA,3 days 
4,788166671,Samsung Galaxy S9 SPRINT!!,Sold!,Used (normal wear),"Samsung Galaxy S9 no cracked screen or back, works perfect + charger $200 OBOFORR SPRINTTTTNOT UNLOCKED 🙏🙏🙏🙏🙏🙏🙏🙏",2,Local pickup (12 miles away),No shipping INFO!,12.0,,,"San Diego, CA",San Diego, CA,3 days 
5,788148805,Brand New Samsung Galaxy S9,Sold!,New (never used),Samsung Galaxy S964GB ,5,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Chula Vista, CA",Chula Vista, CA,3 days 
6,787082765,Samsung Galaxy S9 plus Unlocked,380,Reconditioned/Certified,"Excellent condition S9 plus.  64gb in Lilac purple.The device is  Unlocked and ready to be used on any Carrier in the world. Device comes with warranty. We accept cash or card. No delivery, pick up only. Ask me how you can save on your monthly cell phone bill. We are a store so no lowball offers please.",4,Local pickup (12 miles away),No shipping INFO!,12.0,,,"San Diego, CA",San Diego, CA,5 days 
7,786541562,"Samsung Galaxy S9 Plus No issues, works great • Factory unlocked, works with any carrier • Charger • Hablo español",369.99,Used (normal wear),"• 100% original, not refurbished, no ghost screen, optimal battery, no problems.• Factory unlocked, works with any company, you can do updates.• Charger and data cable.• Warranty.• Sorry no trades or buys.• Serious buyer, safe buy.• San ysidro/Chula Vista/Tijuana",6,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Chula Vista, CA",Chula Vista, CA,6 days 
8,786434378,Samsung Galaxy s9 plus note,275,Used (normal wear),This phone is in working condition also unlocked for any carrier but has cracked screen and also damaged charging por comes with pen too will change on pad works great other wise missing charger ,2,Local pickup (21 miles away),Ships for $10.99,21.0,,10.99,"Chula Vista, CA",Chula Vista, CA,6 days 
9,789684286,Unlocked Samsung galaxy s9 +,580,Open box (never used),New Samsung Galaxy s9 +. In perfect condition. Comes with a case that ive used and let me tell you that this is the best case ive ever used. I got the case for 58 but ill give it for 30. You can drop the case a 100 times and it wont break. Its also Unlocked so put in your sim and it'll work. I got it from best buy and its ready for an owner!,4,Local pickup (16 miles away),No shipping INFO!,16.0,,,"El Cajon, CA",El Cajon, CA,1 hour 
10,789658190,SAMSUNG GALAXY S9 !,400,Other (see description),This phone is very new only used it for a month it comes with the charger & a case.$400 firm !,3,Local pickup (11 miles away),No shipping INFO!,11.0,,,"San Diego, CA",San Diego, CA,2 hours 
11,789621385,Samsung Galaxy S9 + Plus ANY CARRIER 64GB,360,Used (normal wear),Samsung Galaxy S9 plusAny carrier64GBGreat condition Trusted Seller,8,Local pickup (25 miles away),No shipping INFO!,25.0,,,"San Diego, CA",San Diego, CA,3 hours 
12,789564196,Semi new Samsung galaxy s9,220,Used (normal wear),New it’s for t-mobile good phone almost never used I don’t like Samsung ,4,Local pickup (85 miles away),Ships for $3.29,85.0,,3.29,"Coachella, CA",Coachella, CA,5 hours 
13,788608811,Samsung Galaxy S9 64GB (Purple Lilac) • Unlocked for any carrier • Box and charger • Hablo español,319.99,Used (normal wear),"• 100% Original, no es reconstruido, no tiene pantalla fantasma, batería en óptimas condiciomes, libre de fallas.• Liberado de Fábrica, funciona con cualquier SIM y puedes actualizar.• Cargador y cable.• Lo siento, no hago cambios o compro.• Garantía.• Playas de Tijuana, lugar seguro. Compra Segura.• 100% original, not refurbished, no ghost screen, optimal battery, no problems.• Factory unlocked, works with any company, you can do updates.• Charger and data cable.• Warranty.• Sorry no trades or buys.• Serious buyer, safe buy.• San ysidro/Chula Vista/Tijuana",10,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Chula Vista, CA",Chula Vista, CA,2 days 
14,788184845,Samsung galaxy s9+,450,Used (normal wear),64gb no scratches looks brand new T-Mobile phone,4,Local pickup (11 miles away),No shipping INFO!,11.0,,,"San Diego, CA",San Diego, CA,3 days 
15,788156043,Samsung Galaxy s9+,380,Used (normal wear),In grate conditions ,2,Local pickup (43 miles away),No shipping INFO!,43.0,,,"Temecula, CA",Temecula, CA,3 days 
16,787494178,"Samsung Galaxy A10, metro pcs,new all original accessories, nuevo accesorios originales",129,New (never used),"Samsung Galaxy A1032gbNew all original accessoriesNuevo accesorios originalesMetro by TMobile only$129Ignore s7, s8,s9,S10,pixel,I phone,A20, LG, Motorola, Android, j7, Coolpad",9,Local pickup (15 miles away),Ships for $10.99,15.0,,10.99,"San Diego, CA",San Diego, CA,4 days 
17,786537681,"Samsung Galaxy S9 Plus 64GB (Lilac Purple) Excellent condition, no issues • Factory unlocked works with any company • New charger • Hablo español",379.99,Used (normal wear),"• 100% original, not refurbished, no ghost screen, optimal battery, no problems.• Factory unlocked, works with any company, you can do updates.• Charger and data cable.• Warranty.• Sorry no trades or buys.• Serious buyer, safe buy.• San ysidro/Chula Vista/Tijuana",8,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Chula Vista, CA",Chula Vista, CA,6 days 
18,759290954,Samsung Galaxy S9 Plus 64gig Coral Blue,500,Used (normal wear),"Coral Blue Galaxy S9 Plus. 0 issues. No cracks on the screen. Comes with an installed screen protector, and a magnetic case with a wallet attachment. Would prefer to meet at a Verizon to verify the phone, but that's up to you. Asking $500, and open to offers.",4,Local pickup (23 miles away),No shipping INFO!,23.0,,,"Chula Vista, CA",Chula Vista, CA,1 month 
19,789256782,Samsung Galaxy S9 Plus Unlocked,350,Used (normal wear),Samsung Galaxy S9 Plus Unlocked 64GB 100% Functional but the display has LCD burn in-Shadow icons.Comes with a charger ,1,No delivery INFO!,"Ships from Austin, TX for $3.29",,"Austin, TX",3.29,"Austin, TX",Austin, TX,12 hours 
20,779120626,Samsung Galaxy S9- like new- Factory Unlocked,335,Used (normal wear),"Like newFactory unlocked Does not come with Charger The Galaxy S9 delivers an enhanced entertainment experience with powerful stereo speakers tuned by AKG, surround sound supported by Dolby Atmos and a refined edge-to-edge Infinity Display - a key staple in Samsung's design heritage. The camera is built with a Super Speed Dual Pixel sensor with dedicated processing power and memory that can combine up to 12 distinct images into one amazing, high quality photo.Release Date: March 2018Screen size: 5.8 inBattery life: 31 hours talk timeStorage capacity: 64 GB StorageOperating system: AndroidWeight: 5.75 oz",4,Local pickup (20 miles away),No shipping INFO!,20.0,,,"Chula Vista, CA",Chula Vista, CA,2 weeks 
21,788648733,SAMSUNG GALAXY S9+,320,Used (normal wear),"Selling my Samsung Galaxy S9+, for Verizon. It’s in great condition,  I major scratches, finger identifier on back is a bit worn out, but still works perfectly fine. Comes with box, charger, and phone charger. ",3,Local pickup (12 miles away),No shipping INFO!,12.0,,,"La Mesa, CA",La Mesa, CA,2 days 
22,788243037,Samsung Galaxy S9 with Otterbox,400,Used (normal wear),Sprint Samsung Galaxy S9 with Otterbox and charger included.  Just paid it off and upgraded to new phone.  The phone is clean and ready to activate with Sprint or maybe Boost Mobile. Like new!! ,3,Local pickup (27 miles away),No shipping INFO!,27.0,,,"Ramona, CA",Ramona, CA,3 days 
23,788151336,Samsung Galaxy S9 + plus ANY CARRIER 64GB,360,Used (normal wear),Samsung Galaxy S9 plusAny carrier64GBGreat condition Trusted Seller,10,Local pickup (24 miles away),No shipping INFO!,24.0,,,"San Diego, CA",San Diego, CA,3 days 
24,787185403,"Galaxy A20, metro pcs only, brand new, nuevo accesorios originales",159,New (never used),"Samsung Galaxy A20 metro pcsCase and tempered glass screen protector includedTodo nuevo accesorios originalesIncluye case y vidrio templado$159Ignore s7, s8,s9,S10,pixel,I phone,A20, LG, Motorola, Android, j7, Coolpad",5,Local pickup (14 miles away),Ships for $10.99,14.0,,10.99,"San Diego, CA",San Diego, CA,5 days 
25,786540205,"Samsung Galaxy S9 64GB (Lilac Purple) No issues • Factory unlocked, works with any company • Charger • Hablo español",329.99,Used (normal wear),"• 100% original, not refurbished, no ghost screen, optimal battery, no problems.• Factory unlocked, works with any company, you can do updates.• Charger and data cable.• Warranty.• Sorry no trades or buys.• Serious buyer, safe buy.• San ysidro/Chula Vista/Tijuana",6,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Chula Vista, CA",Chula Vista, CA,6 days 
26,786004172,SAMSUNG GALAXY S9,225,Open box (never used),I have a Black 64g SamsungGalaxy S9 in absolutely perfect shape.. It was literally used at home for1 month... It is a Sprint Phone meaning it is perfect for current Sprint Carrier.. It has to go so I will let it go for $225 and am some what flexible there... Let me know it will go quick,7,Local pickup (5 miles away),No shipping INFO!,5.0,,,"San Diego, CA",San Diego, CA,1 week 
