,Name,Price,postDate,HasImage,Attributes,postID,contactInfo,distance
0,iPhone 6S Plus 128GB T-Mobile metro PCS  perfect condition!!,195,2019-12-02 22:07,True,excellent,7031195214,False,2.22786771072064
1,iPhone 6S Plus,300,2019-12-02 21:51,True,new,7031199747,False,21.612422698344233
2,iPhone 6s Plus,120,2019-12-02 20:16,True,like new,7031175784,False,13.97336978928863
3,Unlocked iPhone 6S 16gb,0,2019-12-02 20:10,True,Unknown,7027576248,False,6.1423166155169335
4,Unlocked iPhone 6S 16gb,0,2019-12-02 20:10,True,Unknown,7027576337,False,6.1423166155169335
5,"Iphone 6s,7,8 3 Tempered Glasses Screen Protector",29,2019-12-02 18:35,True,new,7031091323,True,24.12105257729043
6,APPLE IPHONE 6S PLUS BATTERY REPAIR FIX,24,2019-12-02 18:32,True,new,7014389130,True,22.956673959827725
7,Apple Iphone 6s and 6s plus,24,2019-12-02 18:32,True,new,7015802377,False,22.96456482528452
8,Apple Iphone 6s and 6s plus battery repair fix,24,2019-12-02 18:31,False,new,7015802523,False,22.96456482528452
9,APPLE IPHONE 6S PLUS BATTERY REPAIR FIX,24,2019-12-02 18:31,False,new,7023875732,True,22.956673959827725
10,APPLE IPHONE 6S PLUS BATTERY REPAIR FIX,24,2019-12-02 18:30,True,new,7024843375,True,22.956673959827725
11,Apple Iphone 6s and 6s plus,24,2019-12-02 18:32,True,new,7027801813,False,22.96456482528452
12,APPLE IPHONE 6S PLUS BATTERY REPAIR FIX,24,2019-12-02 18:30,False,new,7029185897,True,22.956673959827725
13,Iphone 6S Plus 64gb Pink,240,2019-12-02 17:14,True,like new,7027756903,False,8.350024697081
14,iPhone 6s,250,2019-12-02 16:42,True,like new,7031084272,False,15.136769523643364
15,UNLOCKED APPLE iPHONE 6S PLUS VERIZON AT&T T-MOBILE 12.4 JAILBROKEN,250,2019-12-02 16:06,True,Unknown,7027089197,False,18.58801538381235
16,Mint Glass Protector / firm on price,0,2019-12-02 16:00,True,Unknown,7027440367,False,12.687232062916744
17,IPHONE 6S PLUS 64GB FACTORY UNLOCKED FOR ANY CARRIER WORLDWIDE,225,2019-12-02 15:47,True,excellent,7016932453,False,15.69173500698638
18,Mint Glass Protector / firm on price,0,2019-12-02 14:53,True,Unknown,7027440420,False,12.687232062916744
19,iPhone iPad Samsung Screen LCD Battery Repair 8/8+ 7/7+ /6S/6+ /5S,0,2019-12-02 12:34,True,Unknown,7026736423,False,3.1604504029266764
20,IPHONE 6S 32GB FACTORY UNLOCKED FOR ANY CARRIER WORLDWIDE (WARRANTY),150,2019-12-02 12:23,True,excellent,7019397744,False,15.69173500698638
21,IPHONE 6S PLUS 32& 64GB FACTORY UNLOCKED FOR ANY CARRIER WORLDWIDE,200,2019-12-02 12:23,True,excellent,7020275800,False,15.69173500698638
22,IPHONE 6S 64GB FACTORY UNLOCKED FOR ANY CARRIER WORLDWIDE (WARRANTY),160,2019-12-02 12:23,True,excellent,7018306142,False,15.69173500698638
23,iPhone iPad Samsung Screen LCD Battery Repair 8/8+ 7/7+ /6S/6+ /5S,0,2019-12-02 11:30,True,Unknown,7026736335,False,3.1604504029266764
24,iPhone iPad Samsung Screen LCD Battery Repair 8/8+ 7/7+ /6S/6+ /5S,0,2019-12-02 10:59,True,Unknown,7026736307,False,3.1604504029266764
25,Apple iPhone 6s Plus Case and Accessories,10,2019-12-02 10:55,True,Unknown,7027214778,False,18.812958613470965
26,iPhone 6S 64GB Verizon GSM Unlocked,220,2019-12-02 10:49,True,excellent,7030812479,True,8.892552314742716
27,iPhone 6s Plus - Factory Unlocked - 64GB,250,2019-12-02 10:28,True,like new,7021504180,True,8.38149755343288
28,iPhone 6s Plus - Factory Unlocked - 64GB,250,2019-12-02 10:28,True,like new,7021519674,True,8.38149755343288
29,iPhone 6s Plus - Factory Unlocked - 64GB,250,2019-12-02 10:28,True,like new,7021520735,True,8.38149755343288
30,iPhone 6s Plus - Factory Unlocked - 64GB,250,2019-12-02 10:28,True,like new,7021533982,True,8.38149755343288
31,iPhone 6s Plus - Factory Unlocked - 64GB,250,2019-12-02 10:28,True,like new,7021534134,True,8.38149755343288
32,iPhone 6s Plus - Factory Unlocked - 64GB,250,2019-12-02 10:28,True,like new,7021534267,True,8.38149755343288
33,iPhone 6s Plus - Factory Unlocked - 64GB,250,2019-12-02 10:28,True,like new,7021565598,True,8.38149755343288
34,Firm Price! Brand New Hard Jordan Case for iPhone 6/6s,10,2019-12-02 08:50,True,new,7027203993,False,11.36474645482835
35,Apple iPhone 6s - 64GB (Unlocked) - EXCELLENT Cond. - Space Gray - $300 or Best!,0,2019-12-02 06:55,True,Unknown,7028953676,True,14.759649055591936
36,Unlocked Iphone 6S Large 128 GB Memory Capacity!!!,300,2019-12-01 19:25,True,Unknown,7014565692,False,18.58801538381235
37,"iPhone 8 Plus/7 Plus/6s Plus/6 Plus (5.5"") UAG Trooper Card Case",15,2019-12-01 18:44,True,excellent,7030428396,False,14.820068996417623
38,iPhone 6/6s/6+ 3500mAh charging case,10,2019-12-01 18:09,True,excellent,7030434989,False,14.820068996417623
39,Firm Price! NEW Glitter Case for iPhone 6 Plus/6S Plus,10,2019-12-01 16:24,True,new,7017205909,False,11.36474645482835
40,******BRAND NEW MOPHIE JUICE PACK AIR FOR IPHONE 6/6s,89,2019-12-01 09:32,True,new,7025790361,False,14.849251339555515
41,iPhone 6 or 6s plus otterbox case with holster,10,2019-12-01 07:00,True,like new,7024866650,False,14.319937962385024
42,2x IPhone 6s 32gb Metro PCs,360,2019-11-30 18:21,True,new,7029899663,True,15.55465522632655
43,Iphone 6s 32g,115,2019-11-30 16:18,False,excellent,7029850420,True,23.247891137309747
44,Mint Glass Protector / firm on price,0,2019-11-30 15:46,True,Unknown,7027440421,False,12.687232062916744
45,Slighlty cracked Glass Protector / negotiable,0,2019-11-30 11:28,True,Unknown,7010978540,False,16.093159241408223
46,Slighlty cracked Glass Protector / negotiable,0,2019-11-30 11:17,True,Unknown,7010978542,False,16.093159241408223
47,iPhone 8 Plus/7 Plus/6 Plus/6s Plus 4000mAh charging case Rose Gold,10,2019-11-30 10:15,True,like new,7025503718,False,14.820068996417623
48,iPhone 6S Plus 64 GB,199,2019-11-29 17:58,True,excellent,7029309252,False,3.663324064030792
49,iPhone 6s Plus 64GB,224,2019-11-29 17:55,True,like new,7029308352,False,3.6692818605283466
50,"iPhone 6s Rose, 64GB, unlocked, excellent condition",215,2019-11-29 17:08,True,excellent,7029288525,True,19.547694352750106
51,FIRM PRICE! NEW Leather Wallet Case for iPhone 6 Plus or 6s Plus,15,2019-11-29 15:50,True,new,7011430313,False,11.36474645482835
52,iPhone 6s Plus,200,2019-11-29 15:32,True,like new,7029243718,True,9.333879685355683
