,Name,Price,postDate,HasImage,Attributes,postID,contactInfo,distance
0,iPhone X 256 black,425,2019-11-30 20:26,True,like new,7029936104,True,15.55465522632655
1,iPhone X 64GB AT&T Silver,500,2019-11-30 19:44,True,excellent,7029925101,False,5.174588678026387
2,Space Grey iPhone X - 256GB - Great Condition - Unlocked,150,2019-11-30 19:09,True,excellent,7029913034,True,9.333879685355683
3,LIFEPROOF FRE IPHONE X CASE BRAND NEW!!,60,2019-11-30 18:37,True,new,7023537820,False,12.026527656315686
4,Iphone X 64Gb,550,2019-11-30 16:45,True,like new,7029862104,True,17.66698088930733
5,256GB IPHONE X Unlocked works with any cellphone carrier W/Brand new a,545,2019-11-30 16:41,True,like new,7029824757,False,18.544331350715467
6,256GB IPHONE X Unlocked for any carrier +BRAND NEW ACCESSORIES,545,2019-11-30 15:59,True,like new,7029810386,False,9.333879685355683
7,X-MAX LOCKED 1oS IPHONE top BUYER@XS..XR..X ###,0,2019-11-30 15:09,True,Unknown,7028553086,False,14.400094573339953
8,X-MAX LOCKED 1oS IPHONE top BUYER@XS..XR..X ###,0,2019-11-30 15:09,True,Unknown,7028553111,False,14.400094573339953
9,X-MAX LOCKED 1oS IPHONE top BUYER@XS..XR..X ###,0,2019-11-30 15:09,True,Unknown,7028553129,False,14.400094573339953
10,Sell me your Iphone X ! Top %^& BuyeR!,0,2019-11-30 13:05,True,like new,7026421521,False,10.658264005575704
11,256GB IPHONE X SILVER UNLOCKED ANY COMPANY+ NEW ACCESSORIES,545,2019-11-30 12:56,True,like new,7017959828,False,6.1423166155169335
12,iPhone X 256 GB UNLOCKED,525,2019-11-30 12:40,True,like new,7027203205,False,8.38149755343288
13,iPhone X 256 GB UNLOCKED,425,2019-11-30 12:40,True,like new,7027841001,False,8.38149755343288
14,NE##@W Sell At iPhone X @tt,0,2019-11-30 12:14,True,like new,7028505039,False,12.687232062916744
15,NE##@W Sell At iPhone X @tt,0,2019-11-30 11:50,True,like new,7028505046,False,12.687232062916744
16,Slighlty cracked Glass Protector / negotiable,0,2019-11-30 11:28,True,Unknown,7010978540,False,16.093159241408223
17,iPhone X 256gb,450,2019-11-30 11:27,False,like new,7029672123,False,13.369987021648157
18,Slighlty cracked Glass Protector / negotiable,0,2019-11-30 11:17,True,Unknown,7010978542,False,16.093159241408223
19,Sell me your Iphone X ! Top %^& BuyeR!,0,2019-11-30 11:15,True,like new,7028559410,False,8.837883911520976
20,256GB IPHONE X UNLOCKED FOR ANY CELLPHONE COMPANY you can test it,545,2019-11-30 10:57,True,like new,7018121434,False,18.544331350715467
21,OtterBox case I phone X or XS,15,2019-11-30 10:32,True,new,7029629791,False,101.63233638387918
22,Sell me your Iphone X ! Top %^& BuyeR!,0,2019-11-30 10:21,True,like new,7028559400,False,8.837883911520976
23,iPhone X 256GB Space Gray - unlocked,550,2019-11-30 09:34,True,excellent,7029578668,False,2.22786771072064
24,Iphone X max 256Gb T-mobile only,680,2019-11-29 21:52,True,excellent,7029373136,False,21.58145216364907
25,iPhone X 256GB,500,2019-11-29 17:12,True,Unknown,7025869113,True,10.246047191510852
26,FIRM PRICE! NO Offers. Brand New Premium Case for iPhone X or XS,15,2019-11-29 15:47,True,new,7020795575,False,11.36474645482835
