,Name,Price,postDate,HasImage,Attributes,postID,contactInfo,distance
0,Iphone x,499,2019-11-28 23:38,True,excellent,7028819534,False,11.344987515936785
1,"iPhone X 256GB , UnLocked",580,2019-11-28 22:32,True,excellent,7011042103,False,2.22786771072064
2,APPLE iPHONE PARTS /LOCKED X 8PLS;' I WANTSS;.SELL ME Now@!,0,2019-11-28 16:54,True,Unknown,7028718204,False,4.627745735134717
3,APPLE iPHONE PARTS /LOCKED X 8PLS;' I WANTSS;.SELL ME Now@!,0,2019-11-28 16:50,True,Unknown,7028718191,False,4.627745735134717
4,Like New iPhone X 256GB AppleCare+ (Unlocked),625,2019-11-28 16:46,True,like new,7028743051,False,5.9205764241137
5,APPLE iPHONE PARTS /LOCKED X 8PLS;' I WANTSS;.SELL ME Now@!,0,2019-11-28 16:35,True,Unknown,7028718222,False,4.627745735134717
6,FIRM PRICE! NO Offers. Brand New Premium Case for iPhone X or XS,15,2019-11-28 13:29,True,new,7020184038,False,11.36474645482835
7,FIRM PRICE! NO Offers. NEW Case for iPhone X or XS,15,2019-11-28 13:17,True,new,7015648095,False,11.36474645482835
8,FIRM PRICE! NO Offers. NEW Case for iPhone X or XS,15,2019-11-28 13:13,True,new,7010981108,False,11.36474645482835
9,iPhone X buyer!!iPh@ne 8+ ICLU@d,0,2019-11-28 13:04,True,like new,7028642653,False,12.374731283630094
10,Iphone X UNLOCKED - Black 256 GB - Gently Used,500,2019-11-28 12:37,True,good,7025743855,False,12.026527656315686
11,iPhone X buyer!!iPh@ne 8+ ICLU@d,0,2019-11-28 12:23,True,like new,7028642673,False,12.374731283630094
12,iphone x cases ( 9 cases for only $10),10,2019-11-28 11:39,True,new,7028655354,True,18.812958613470965
13,CAS##$%H IPHONE x xs max xr {BUYER}callme@@,0,2019-11-28 11:31,True,Unknown,7028606142,True,8.38149755343288
14,CAS##$%H IPHONE x xs max xr {BUYER}callme@@,0,2019-11-28 11:23,True,Unknown,7028606154,True,8.38149755343288
15,Slighlty cracked Glass Protector / negotiable,0,2019-11-28 11:10,True,Unknown,7010978540,False,16.093159241408223
16,CAS##$%H IPHONE x xs max xr {BUYER}callme@@,0,2019-11-28 10:57,True,Unknown,7028606109,True,8.38149755343288
17,Slighlty cracked Glass Protector / negotiable,0,2019-11-28 10:26,True,Unknown,7010978542,False,16.093159241408223
18,BUYRER%% Wan;Ted Phone iPHONE -X-8 Sealed iN BoX.,0,2019-11-28 09:54,True,Unknown,7014643839,False,10.524414242987824
19,X-MAX LOCKED 1oS IPHONE top BUYER@XS..XR..X ###,0,2019-11-28 09:14,True,Unknown,7028553111,False,14.400094573339953
20,X-MAX LOCKED 1oS IPHONE top BUYER@XS..XR..X ###,0,2019-11-28 09:13,True,Unknown,7028553129,False,14.400094573339953
21,Sell me your Iphone X ! Top %^& BuyeR!,0,2019-11-28 09:13,True,like new,7028559410,False,8.837883911520976
22,X-MAX LOCKED 1oS IPHONE top BUYER@XS..XR..X ###,0,2019-11-28 09:08,True,Unknown,7028553086,False,14.400094573339953
23,Sell me your Iphone X ! Top %^& BuyeR!,0,2019-11-28 08:52,True,like new,7028559400,False,8.837883911520976
24,iPhone X,550,2019-11-28 07:48,True,good,7027207352,False,24.74078410915116
25,NE##@W Sell At iPhone X @tt,0,2019-11-28 06:48,True,like new,7028505046,False,12.687232062916744
26,NE##@W Sell At iPhone X @tt,0,2019-11-28 05:57,True,like new,7028505039,False,12.687232062916744
27,iPhone X 256GB,500,2019-11-27 16:01,True,Unknown,7025869113,True,10.246047191510852
28,iPhone X 256GB,480,2019-11-27 14:25,True,Unknown,7028269839,True,10.246047191510852
29,Sell me your Iphone X ! Top %^& BuyeR!,0,2019-11-27 12:34,True,like new,7026421521,False,10.658264005575704
30,NIB Luvvitt Clear iPhone X/XS Case,5,2019-11-27 11:45,True,new,7019510659,True,22.056847557337555
31,FIRM PRICE! Brand New Slim Soft Silicone Case for iPhone X or XS,20,2019-11-27 11:21,True,new,7010362949,False,11.36474645482835
32,LIFEPROOF FRE IPHONE X CASE BRAND NEW!!,60,2019-11-27 10:35,True,new,7023537820,False,12.026527656315686
33,iPhone X 256 GB UNLOCKED,425,2019-11-26 19:55,True,like new,7027841001,False,8.38149755343288
34,"iPhone X, Space Grey, 64GB",350,2019-11-26 17:04,True,good,7027816408,False,14.559748087341582
35,iPhone X 256GB Brand New,600,2019-11-26 16:49,True,new,7027802022,False,14.37831245773691
36,iPhone X,500,2019-11-26 15:01,True,Unknown,7027751624,False,22.405762171744858
37,===iPHONE 10 (X)===EXCELLENT COND=== 64GB===TMOBILE===14 months old===,550,2019-11-26 09:47,True,Unknown,7022245259,True,15.93832609823096
38,Firm Price! Brand New Case for iPhone X or XS,10,2019-11-26 09:28,True,new,7014301319,False,11.36474645482835
39,X--PASS code IPHONE TOP bUyeR%# CASSH4:'.GALAXY:,0,2019-11-26 08:57,True,Unknown,7027421248,False,13.369987021648157
40,X--PASS code IPHONE TOP bUyeR%# CASSH4:'.GALAXY:,0,2019-11-26 08:26,True,Unknown,7027421210,False,13.369987021648157
41,"BUY**++iPhone X//// 256 Gig FACTORY\??UN LOCKED..,, NEEED///#@@",0,2019-11-26 08:20,True,excellent,7027409534,False,10.246047191510852
42,iPhone X 256 GB UNLOCKED,525,2019-11-25 18:54,True,like new,7027203205,False,8.38149755343288
43,iPhone X 256 GB UNLOCKED,525,2019-11-25 17:19,True,like new,7025454464,True,8.38149755343288
44,FIRM PRICE! Brand New Premium Case for iPhone X or XS,15,2019-11-25 16:27,True,new,7009025027,False,11.36474645482835
45,Apple iPhone X 64GB Black Unlocked,520,2019-11-25 12:24,True,like new,7027018431,False,9.243227078260857
46,New iPhone X 256GB,500,2019-11-25 09:32,True,new,7026878565,False,12.12631917530565
47,BUYRER%% Wan;Ted Phone iPHONE -X-8 Sealed iN BoX.,0,2019-11-25 09:11,True,Unknown,7014643856,False,10.524414242987824
48,iPhone X,425,2019-11-24 19:14,True,Unknown,7026603129,False,19.09275185410241
49,Tip Top Shape batteries and ready to go,0,2019-11-24 11:15,True,Unknown,7026350045,True,13.369987021648157
50,Tip Top Shape batteries and ready to go,0,2019-11-24 11:11,True,Unknown,7026350055,True,13.369987021648157
51,FIRM PRICE! NEW Premium Red Case for iPhone X or XS,15,2019-11-24 05:06,True,new,7013102786,False,11.36474645482835
52,FIRM PRICE! NO Offers. NEW Case for iPhone X or XS,15,2019-11-24 05:06,True,new,7013107965,False,11.36474645482835
53,FIRM PRICE! Brand New Premium Case for iPhone X or XS,15,2019-11-24 05:03,True,new,7008178924,False,11.36474645482835
54,Firm Price! Brand New Wallet Case for iPhone X or XS,15,2019-11-24 05:03,True,new,7017206091,False,11.36474645482835
55,New BodyGuardz Apple iPhone Xs/X Tempered Glass Screen Protector,35,2019-11-23 22:38,True,new,7014181278,False,5.919368741228188
56,New BodyGuardz Apple iPhone Xs/X Tempered Glass Screen Protector,35,2019-11-23 22:38,True,new,7014189427,False,5.919368741228188
57,New BodyGuardz Apple iPhone Xs/X Tempered Glass Screen Protector,35,2019-11-23 22:38,True,new,7014190543,False,5.919368741228188
58,Original iPhone chargers,10,2019-11-23 13:58,True,new,7025933907,False,18.544331350715467
59,Cellphone battery pack for iPhone X or Iphone XS,30,2019-11-23 13:07,True,like new,7017024626,False,18.544331350715467
60,BUYRER%% Wan;Ted Phone iPHONE -X-8 Sealed iN BoX.,0,2019-11-23 12:06,True,Unknown,7014643883,False,10.524414242987824
61,Apple - iPhone X 256GB - Silver (NEW),700,2019-11-22 22:36,True,Unknown,7014245641,False,12.12631917530565
62,AT&T iPhone X,300,2019-11-22 19:02,True,Unknown,7021001869,False,21.942059386855483
63,iPhone X 64gb,475,2019-11-22 17:14,True,Unknown,7025415664,False,5.585629338335542
64,iPhone X - Sprint,375,2019-11-22 13:25,True,Unknown,7025272880,False,18.544331350715467
65,"X-buy Iphone 11 MAX,PLUS wants@ MACBO_OK*& XS 512GB MA@X.<:",0,2019-11-22 12:54,True,good,7025177821,False,16.87822244149898
66,BUY!!iPHONE 8 8 PLUS X 10 7 (BUY GALAXY) S9/S9+@,0,2019-11-22 12:29,True,Unknown,7022029118,False,9.333879685355683
67,New iPhone X 256 GB,600,2019-11-22 12:05,True,new,7025210512,False,12.12631917530565
68,BUY!!iPHONE 8 8 PLUS X 10 7 (BUY GALAXY) S9/S9+@,0,2019-11-22 12:02,True,Unknown,7022029098,False,9.333879685355683
69,FIRM PRICE! NO Offers. Brand New Premium Case for iPhone X or XS,15,2019-11-22 11:18,True,new,7020795575,False,11.36474645482835
70,iPhone X 64GB AT&T,400,2019-11-22 10:47,True,excellent,7025146552,False,20.91020898145237
71,X--PASS code IPHONE TOP bUyeR%# CASSH4:'.GALAXY:,0,2019-11-22 09:15,True,Unknown,7022704626,False,10.658264005575704
72,X--PASS code IPHONE TOP bUyeR%# CASSH4:'.GALAXY:,0,2019-11-22 09:07,True,Unknown,7022704595,False,10.658264005575704
73,BUY!!iPHONE 8 8 PLUS X 10 7 (BUY GALAXY) S9/S9+@,0,2019-11-22 08:54,True,Unknown,7022690833,False,10.658264005575704
74,BUY!!iPHONE 8 8 PLUS X 10 7 (BUY GALAXY) S9/S9+@,0,2019-11-22 08:45,True,Unknown,7022690948,False,10.658264005575704
75,FIRM PRICE! NO Offers. NEW Case for iPhone X or XS,15,2019-11-22 08:43,True,new,7011404455,False,11.36474645482835
76,BUY!!iPHONE 8 8 PLUS X 10 7 (BUY GALAXY) S9/S9+@,0,2019-11-22 08:33,True,Unknown,7022690904,False,10.658264005575704
77,v X--PASS code IPHONE TOP bUyeR%# CASSH4:'.GALAXY:,0,2019-11-22 07:26,True,Unknown,7021249825,False,10.658264005575704
