,Name,Price,postDate,HasImage,Attributes,postID,contactInfo,distance
0,Samsung S9+,350,2019-11-29 13:40,True,like new,7029180344,True,13.058698165001628
1,Unlocked Samsung Galaxy S9 Black 64GB,300,2019-11-29 12:12,True,like new,7029123186,False,13.396103789966118
2,Samsung Galaxy S9 Plus Purple Unlocked,380,2019-11-29 10:05,True,excellent,7027013767,False,9.252339935649116
3,Case for Samsung Galaxy S9+ --- MAKE OFFER,30,2019-11-29 09:48,True,Unknown,7029016837,True,12.12631917530565
4,Samsung Galaxy S9,350,2019-11-25 20:09,True,excellent,7027267100,False,22.808221627172475
5,Samsung Galaxy S9 cases,20,2019-11-24 13:30,True,Unknown,7026401738,True,24.12105257729043
6,Samsung Galaxy S9 64GB Purple,300,2019-11-24 08:04,True,like new,7026236140,False,7.3141063899933645
7,Samsung Galaxy S9 Plus Unlocked ( all colors in stock),399,2019-11-20 18:09,True,Unknown,7024130632,True,12.714669937550394
8,Samsung Galaxy S8/S8 Plus/ S9/ S9 Plus / Note 8/ Note 9 Repair,0,2019-11-20 17:55,True,Unknown,7024124372,True,12.714669937550394
9,Samsung Galaxy S8/S8 Plus/ S9/ S9 Plus / Note 8/ Note 9 Repair,0,2019-11-16 10:45,True,Unknown,7021333691,True,12.714669937550394
10,Samsung Galaxy S9 Plus Unlocked ( all colors in stock),449,2019-11-11 18:41,True,Unknown,7018354384,True,12.714669937550394
11,CASH for your LOCKED GALAXY S8 S9 S10 Note 8 or 9,350,2019-11-29 20:39,True,Unknown,7018430476,False,12.374731283630094
12,CASH for your LOCKED GALAXY S8 S9 S10 Note 8 or 9,350,2019-11-29 20:39,True,Unknown,7022233621,False,12.374731283630094
13,"Samsung Galaxy Note 9,  Unlocked (verizon rom)! Great Condition!",390,2019-11-29 20:11,False,excellent,7029351360,False,8.513192381240714
14,NEW $100 Samsung AKG Head Set (earbuds)--------- New S-10E Cover,39,2019-11-29 17:03,True,good,7013797482,False,18.544331350715467
15,Galaxy S9,250,2019-11-29 14:44,True,good,7029218069,False,12.026527656315686
16,Samsung galaxy S8 Unlocked ( all colors in stock ),249,2019-11-20 18:07,True,Unknown,7024129592,True,12.8509699991551
17,▇▇▇ WE iPHONE & SAMSUNG ALL CARRIER NEW /USED @ 619-384-0928,999,2019-11-19 22:10,True,Unknown,7023552157,True,9.333879685355683
18,▇▇▇ WE iPHONE & SAMSUNG ALL CARRIER NEW /USED @ 619-384-0928,0,2019-11-19 21:48,True,Unknown,7023548204,True,9.333879685355683
19,▇▇▇ WE iPHONE & SAMSUNG ALL CARRIER NEW /USED @ 619-384-0928,0,2019-11-19 21:44,True,Unknown,7023547436,True,12.687232062916744
20,FIRM PRICE! NEW in a Box HDMI 4K+USB 3.0x2+USB-C Converter Hub,30,2019-11-29 15:48,True,new,7025237944,False,11.36474645482835
21,💗 Cheapest in Town iPhone & Samsung Screen Repair 💗,25,2019-11-14 08:31,True,like new,7019914154,False,6.119242284165598
22,FIRM PRICE! Brand New HDMI 4K+USB 3.0x2+USB-C Converter Hub,30,2019-11-28 13:44,True,new,7024554193,False,11.36474645482835
23,FIRM PRICE! NEW in a Package LED Light USB Type C Charging Cable,10,2019-11-28 13:30,True,new,7020177236,False,11.36474645482835
24,Firm Price! Brand New in a Box Tripod with Bluetooth Remote,30,2019-11-28 13:26,True,new,7015892810,True,11.36474645482835
25,Instant cash for junk cars + free towing!                                       ,1,2019-11-28 10:16,True,Unknown,7028623869,True,0.0
26,FIRM PRICE! Brand New HDMI 4K+USB 3.0x2+USB-C Converter Hub,30,2019-11-27 13:35,True,new,7023997238,False,11.36474645482835
27,💗Cheapest in Town iPhone & Samsung Screen Repair 💗,25,2019-11-13 08:26,True,like new,7019256925,False,6.119242284165598
28,FIRM PRICE! NEW in a Box HDMI 4K+USB 3.0x2+USB-C Converter Hub,30,2019-11-26 10:23,True,new,7023329799,False,11.36474645482835
29,💗Cheapest in Town iPhone & Samsung Screen Repair & Used Phones Sell💗,25,2019-11-12 08:30,True,like new,7018597157,False,6.119242284165598
30,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-24 19:28,True,Unknown,7026608810,False,1245.247032431583
31,▇ ▇CA$H PAID 4 IPHONE IPAD MACBOOK GALAXY ▇ ▇ CASH NOW ▇ ▇ $ ▇ ▇,900,2019-11-24 17:41,True,Unknown,7026569983,False,1245.247032431583
32,Premium Windshield Car Phone Mount for Tablet/Phones w/ Adjustable Arm,25,2019-11-24 17:19,True,Unknown,7008191334,True,12.12631917530565
