,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,789692018,iPhone 7 - 128GB - Red,295,Used (normal wear),"Good condition IPhone 7  128GB Works perfect but front screen cracked so needs to be replaced.   No major scratches on back & otherwise perfect working order.   All data erased & ready to use.   Works perfectly fine as is ,  as cracked screen is thin cracks & doesn’t distort view.  ",2,Local pickup (21 miles away),No shipping INFO!,21.0,,,"Carlsbad, CA",Carlsbad, CA,20 minutes 
1,789676540,iPhone 7 unlocked,250,Used (normal wear),Unlocked for any carrier good condition. Asking 250 obo. Text me with any questions,3,Local pickup (10 miles away),No shipping INFO!,10.0,,,"San Diego, CA",San Diego, CA,1 hour 
2,788744506,Apple iPhone 7 16gb with 6 case,200,Used (normal wear),"Apple iPhone rose gold 16gb with iphone 6 cases. Was my daughters, since upgraded.  Works perfect.  ",5,Local pickup (21 miles away),No shipping INFO!,21.0,,,"Chula Vista, CA",Chula Vista, CA,1 day 
3,789624242,Iphone 7 Any carrier 128GB,260,Used (normal wear),Iphone 7128GBANY CARRIERGreat conditionTrusted Seller,10,Local pickup (24 miles away),No shipping INFO!,24.0,,,"San Diego, CA",San Diego, CA,3 hours 
4,789620188,iPhone 7,175,Used (normal wear),iPhone 7 mint condition carrier ATT ,3,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Escondido, CA",Escondido, CA,3 hours 
5,789615198,iPhone 7 Plus 32GB (VERIZON ONLY),190,Used (normal wear),"iPhone 7 Plus 32GB for VERIZON only. Originally bought in September, 2017.  Has some cosmetic damage, but phone works well. No cracks/scratches on screen, phone had a screen protector on the entire time. ",12,Local pickup (3 miles away),No shipping INFO!,3.0,,,"San Diego, CA",San Diego, CA,3 hours 
6,789677276,iPhone 7 with cracked screen,150,Used (normal wear),"iPhone 7 with cracked screen, otherwise works great , serious inquiries only. ",5,No delivery INFO!,"Ships from Kendall, FL for $3.29",,"Kendall, FL",3.29,"Kendall, FL",Kendall, FL,1 hour 
7,789528446,iPhone 7 32gb UNLOCKED,200,Used (normal wear),$200 ,2,Local pickup (15 miles away),No shipping INFO!,15.0,,,"San Diego, CA",San Diego, CA,5 hours 
8,789465521,Apple iPhone 7 Plus 256gb Unlocked Read Description,240,Used (normal wear),"Selling my iPhone 7 plus 256gb. SIM tray needs to be replaced, I have the original but the vacuum ate it and tweaked it. It's still under  warranty for a couple years. Phone has been unlocked from AT&T Like new, no scratches,nicks or dings. I will include a fold over leather case. Please review last picture for full phone report. Buyer pickup in El Cajon.",5,Local pickup (15 miles away),No shipping INFO!,15.0,,,"El Cajon, CA",El Cajon, CA,7 hours 
9,789686452,Iphone 7 plus 32g,230,Used (normal wear),Iphone 7 plus 32g att carrier ,4,Local pickup (19 miles away),No shipping INFO!,19.0,,,"Chula Vista, CA",Chula Vista, CA,35 minutes 
10,789663698,iPhone 7 Plus rose gold,250,Used (normal wear),"I phone 7 plus , used less than a year , no scratches perfect conditions fully unlocked can be used with any provided ",2,Local pickup (86 miles away),Ships for $3.29,86.0,,3.29,"Bloomington, CA",Bloomington, CA,1 hour 
11,789655464,IPHONE 7 128Gb Jet Black Factory Unlocked,270,Used (normal wear),"Good Battery Life and Clean IMEI, not reported stolen. We offer warranty on all of our devices.All of our phones are used but in great Shape! Factory unlocked which means you can put any Sim Card  with service and it will work.Comes with:House chargerBuy with Confidence ",5,Local pickup (16 miles away),No shipping INFO!,16.0,,,"National City, CA",National City, CA,1 hour 
12,789637194,iPhone 7,160,Used (normal wear),Its 32 gb works fine it works for tmoblie and metro pcs send me offers quick 160 the least  need gone asap ,3,Local pickup (14 miles away),No shipping INFO!,14.0,,,"National City, CA",National City, CA,2 hours 
13,787752134,iPhone7 Plus 128GB,320,Used (normal wear),Excellent conditionBlack iPhone 7 Plus Includes charger and Wildflower case ,5,Local pickup (22 miles away),Ships for $3.29,22.0,,3.29,"Chula Vista, CA",Chula Vista, CA,4 days 
14,789620353,iPhone 7 Plus 128Gb with free headphones,349,Used (normal wear),"Unlocked.Excellent condition. Comes with free apple headphones. Phone has screen protector on it already. Don’t miss on this holiday Sale! Cash only, meet in downtown SD.",5,Local pickup (10 miles away),No shipping INFO!,10.0,,,"San Diego, CA",San Diego, CA,3 hours 
15,789606097,iPhone 7,Sold!,Used (normal wear),Upgraded so no longer need. In great condition one small scratch on the top corner but nothing on the screen itself. Unlocked and paid off! $200 OBO,6,Local pickup (6 miles away),No shipping INFO!,6.0,,,"San Diego, CA",San Diego, CA,3 hours 
16,789599504,iPhone 7,200,Used (normal wear),"Price is Firm 👈🏻👈🏻👈🏻👈🏻👈🏻 NO SHIPPINGPlease read the entire ad as most of your questions are answered below. Unlocked for all carriers: AT&T, CricKet, T-Mobile, Metro PCS, Simple Mobile, Telcel, Obama sims, Straight Talk, Tracfone, Verizon, Sprint overseas etc. Clean IMEIiPhone 7 - 32GB - Silver ColorExcellent Condition. Everything works GreatBring your SIM card and make a test call!Reset Back to Factory Settings. There is NO iCloud lock or any activation lock. It’s fully wiped and ready for you to use the phone. Price is Firm 👈🏻👈🏻👈🏻👈🏻👈🏻",3,Local pickup (10 miles away),No shipping INFO!,10.0,,,"San Diego, CA",San Diego, CA,3 hours 
17,789586568,iPhone 7 Plus,260,Used (normal wear),"Price is Firm 💵📱Unlocked for all carriers: Works on AT&T, CricKet, T-Mobile, Metro PCS, Simple Mobile, Telcel, Verizon, Sprint overseas etc. iPhone 7 Plus - 32GB - Silver ColorGreat Condition. Works Excellent. ✅Clean IMEI☁️ No Apple ID or iCloud. Ready 2 Go!♻️Reset Back to Factory Settings📞Bring your SIM card and make a test call!💵 Price is Firm 💵",3,Local pickup (10 miles away),No shipping INFO!,10.0,,,"San Diego, CA",San Diego, CA,4 hours 
18,789539979,Iphone 7 plus 32GB factory unlocked,350,Used (normal wear),Good condition. It comes with original box charger cable and new headset. Flash is not working everything else works as it should. Local pickup and cash only. ,4,Local pickup (16 miles away),No shipping INFO!,16.0,,,"National City, CA",National City, CA,5 hours 
19,789463773,iPhone 7 plus,250,New (never used),Looking for a trade :)Make reasonable offers Perfect conditionHablo español pregunten:),1,Local pickup (23 miles away),No shipping INFO!,23.0,,,"San Diego, CA",San Diego, CA,7 hours 
20,385652388,iPhone 7 Gold 16gb,400,Open box (never used),"Fully operational, absolutely nothing wrong with it got a new iPhone so no need for this one,willing to negotiate to a reasonable extent (has SIM card)",4,Local pickup (11 miles away),No shipping INFO!,11.0,,,"San Diego, CA",San Diego, CA,2 years 
21,789641150,Brand New Factory Unlocked iPhone 7 128GB Black,400,New (never used),Brand New Factory Unlocked iPhone 7 128GB Black$400 OBO,8,Local pickup (7 miles away),No shipping INFO!,7.0,,,"Del Mar, CA",Del Mar, CA,2 hours 
22,789686143,iPhone 7,200,Used (normal wear),iPhone 7 en muy buenas condiciones para T MOBiL desbloqueado jente interesada ,6,No delivery INFO!,"Ships from Aurora, CO for $10.99",,"Aurora, CO",10.99,"Aurora, CO",Aurora, CO,36 minutes 
23,789629017,Unlocked IPhone 7 Plus,250,Used (normal wear),"Unlocked 7 PlusBlack, 128 gb Good condition—minor scratches, no cracks",1,Local pickup (13 miles away),Ships for $3.29,13.0,,3.29,"Santee, CA",Santee, CA,2 hours 
24,789623915,Apple iPhone 7 Plus 128gb,325,Used (normal wear),"iPhone 7 plus 128gb in black. The phone is unlocked and includes the charging plug, cable, and a new tempered glass screen protector I just put on.",3,Local pickup (11 miles away),No shipping INFO!,11.0,,,"San Diego, CA",San Diego, CA,3 hours 
25,789587880,iPhone 7 32gb,250,Used (normal wear),No description. Ask seller for more details,3,Local pickup (14 miles away),No shipping INFO!,14.0,,,"Encinitas, CA",Encinitas, CA,4 hours 
26,789577190,iPhone 7 Plus 128GB,200,Used (normal wear),iPhone 7 Plus 128GB,1,Local pickup (23 miles away),No shipping INFO!,23.0,,,"Vista, CA",Vista, CA,4 hours 
27,789529252,iPhone 7 Plus 256gb UNLOCKED,300,Used (normal wear),$300,2,Local pickup (15 miles away),No shipping INFO!,15.0,,,"San Diego, CA",San Diego, CA,5 hours 
28,789509776,iphone 7,250,Used (normal wear),iphone 7 32 gb storageflat blackgreat condition comes with screen protector and case on itthe screen protector has a crack on it but the actual screen has no cracks t-mobile / metro i’m not sure if it’s unlocked i’m pretty sure it isasking for 250 send offers price is negotiable Condition: amazing,2,Local pickup (23 miles away),No shipping INFO!,23.0,,,"San Diego, CA",San Diego, CA,6 hours 
29,789682499,iPhone 7 Plus Jet Black 128GB,300,Used (normal wear),128GB jet black ,6,Local pickup (a mile away),No shipping INFO!,1.0,,,"San Diego, CA",San Diego, CA,46 minutes 
30,789667613,iPhone 7 Plus 32gb,180,Used (normal wear),U can’t use iPhone 7 earphones but works perfectly with Bluetooth it charges but for sum reason it won’t let use the earphone,1,Local pickup (13 miles away),No shipping INFO!,13.0,,,"San Diego, CA",San Diego, CA,1 hour 
31,789658561,iPhone 7 128gb At&t / Cricket,250,Used (normal wear),iPhone 7 128gb At&t / Cricket very good condition with close to no scratches ready to go comes with a charger looking for $250 Cash only No trades you pick up * LOW BALLERS WILL BE BLOCKED *,2,Local pickup (20 miles away),No shipping INFO!,20.0,,,"El Cajon, CA",El Cajon, CA,1 hour 
