,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,790837715,iPhone 6 32gb,75,Used (normal wear),No description. Ask seller for more details,4,Local pickup (16 miles away),No shipping INFO!,16.0,,,"San Diego, CA",San Diego, CA,11 minutes 
1,790787261,iPhone 6,120,Reconditioned/Certified,"iPhone 6 works perfectly, great audio and camera, comes with 2 stickers ",4,No delivery INFO!,"Ships from Los Angeles, CA for $3.29",,"Los Angeles, CA",3.29,"Los Angeles, CA",Los Angeles, CA,3 hours 
2,784233858,Samsung galaxy note 8 unlocked,349,Used (normal wear),"Mint Condition Works With any AT&T , Tmobile, Verizon, Cricket, Metro Network and Overseas.We have in stock, iPhone 6 - $150  | iPhone 7 - $249  | iPhone 7 Plus - $349iPhone 8 - $349  | iPhone 8 Plus - $449 Samsung S8 - $249 |   S8 Plus - $349Samsung S9 - $349 |   S9 Plus  - $399Samsung Note 8 - $349  |  Note 9 - $449 Comes with warranty Call us or stop by  Our store address :Payless Wireless6074 EL Cajon Blvd San Diego, CA - 92115",8,Local pickup (11 miles away),No shipping INFO!,11.0,,,"San Diego, CA",San Diego, CA,1 week 
3,790252467,2 cracked iPhones,195,Used (normal wear),iPhone 6 going for 90iPhone 6s 110Or both for 195,2,Local pickup (25 miles away),No shipping INFO!,25.0,,,"Vista, CA",Vista, CA,1 day 
4,790233282,iPhone 6,Sold!,Used (normal wear),"$100, works perfectly, picture taken right before posting, everything works great. Newest iOS has been updated. T-Mobile ",2,Local pickup (10 miles away),No shipping INFO!,10.0,,,"San Diego, CA",San Diego, CA,1 day 
5,789977890,Iphone 6,Sold!,Used (normal wear),"Iphone 6 Unlocked 16GB. Works great, only selling because I bought a new phone. Phone has always been in a case and screen protector.",3,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Chula Vista, CA",Chula Vista, CA,1 day 
6,789725713,iPhone 6 16GB,100,Used (normal wear),"iPhone 6 in white/silverExcellent condition - no scratches, cracks or dents$100 OBO",2,Local pickup (24 miles away),No shipping INFO!,24.0,,,"Oceanside, CA",Oceanside, CA,2 days 
7,789191708,iPhone 6 16GB carrier unlocked,120,Used (normal wear),iPhone 6 16 GBCarrier unlockedFully functional No scratches or cracksClean IMEIReady to use120 OBO HMU with questions ,4,Local pickup (34 miles away),No shipping INFO!,34.0,,,"Oceanside, CA",Oceanside, CA,2 days 
8,790798590,iPhone 6,80,Used (normal wear),I am selling my iPhone 6. screen in perfect condition no scratches no cracks all buttons work. $80obo I have been using it up until yesterday. I bought a new iPhone. It is unlocked from Carrier. iCloud is reset and bonus factory reset. 16 gigs,3,Local pickup (20 miles away),No shipping INFO!,20.0,,,"Escondido, CA",Escondido, CA,3 hours 
9,790759323,IPhone 6 for AT&T 16gb ready to use,150,Used (normal wear),"Good used IPhone 6. Carrier is AT&T. I bought it new and it’s been in a case all it’s life. Good screen with no cracks! Back side has few marks from getting it in and out of the case, nothin major. Ready to be used if you put your own SIM card.",3,Local pickup (22 miles away),No shipping INFO!,22.0,,,"Vista, CA",Vista, CA,5 hours 
