,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,790283079,Iphone 6s,130,Used (normal wear),No description. Ask seller for more details,2,Local pickup (16 miles away),No shipping INFO!,16.0,,,"San Diego, CA",San Diego, CA,2 hours 
1,790252467,2 cracked iPhones,195,Used (normal wear),iPhone 6 going for 90iPhone 6s 110Or both for 195,2,Local pickup (25 miles away),No shipping INFO!,25.0,,,"Vista, CA",Vista, CA,3 hours 
2,790242220,iPhone 6s factory Unlocked 64 GB,250,Used (normal wear),IPhone 6s factory Unlocked w/ Box Newtrent case protection silver & gold,2,Local pickup (13 miles away),No shipping INFO!,13.0,,,"San Diego, CA",San Diego, CA,4 hours 
3,790189611,New In Box Apple iPhone 6S Plus Boost Mobile/Sprint Clear ESN,300,New (never used),Brand new in box has never been used. It has no scratches on the phone anywhere. It comes in its original box with all original accessories which are sealed.,1,No delivery INFO!,"Ships from Glendale, AZ for $7.49",,"Glendale, AZ",7.49,"Glendale, AZ",Glendale, AZ,4 hours 
4,790188082,128gb unlocked iphone 6s plus.rose gold,130,Used (normal wear),hair line crack on screen  not bad . Everything else looks great.ready for any gsm sim. ,6,Local pickup (13 miles away),No shipping INFO!,13.0,,,"San Diego, CA",San Diego, CA,6 hours 
5,790137043,Unlocked iPhone 6s - 32gb,115,Used (normal wear),Clean IMEINormal wear and tear32 gb storageGreat condition Comes with phone and screen protectorsNo TradesLocal cash only Pick up only,5,Local pickup (7 miles away),No shipping INFO!,7.0,,,"San Diego, CA",San Diego, CA,7 hours 
6,790238044,iPhone 6s Plus unlocked can be used with any carrier,80,Used (normal wear),64gbs nothing wrong with it just don’t use it. No scratches or cracks it’s in good condition. It’s unlocked so you can use it with any carrier yes any carrier!!! ,2,No delivery INFO!,"Ships from Dallas, TX for $7.49",,"Dallas, TX",7.49,"Dallas, TX",Dallas, TX,4 hours 
7,789854163,iPhone 6s Plus,180,Used (normal wear),iPhone 6s Plus 16gb unlocked in good condition ,2,Local pickup (15 miles away),No shipping INFO!,15.0,,,"Lincoln Acres, CA",Lincoln Acres, CA,14 hours 
8,789733569,Apple iPhone 6s,300,Used (normal wear),This phone is like new. Comes with charger. ,1,Local pickup (17 miles away),No shipping INFO!,17.0,,,"Bonita, CA",Bonita, CA,1 day 
9,789587760,Iphone 6s,90,Used (normal wear),Unlocked iPhone 6s 16GB. iPhone works great no issues.Screen has some scratches but no cracks.,3,Local pickup (17 miles away),No shipping INFO!,17.0,,,"Spring Valley, CA",Spring Valley, CA,1 day 
