,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,789542593,Google Pixel 3 64BG,400,Used (normal wear),Selling my Google Pixel 3. It’s the 64 GB version. My company upgraded my personal phone for me so I don’t need this anymore. In perfect working condition. ,4,Local pickup (20 miles away),No shipping INFO!,20.0,,,"Carlsbad, CA",Carlsbad, CA,2 days 
1,788196695,Brand new pixel 3 unlocked 64gb,300,New (never used),Brand new google pixel 3 not pink 64gb version.  I’m a google employee and was given the homer to take them home. Don’t need them. ,3,Local pickup (11 miles away),No shipping INFO!,11.0,,,"San Diego, CA",San Diego, CA,5 days 
2,786493580,Google Pixel 3 128Gb Factory Unlocked Any Carrier,380,Used (normal wear),"Good Battery Life and Clean IMEI, not reported stolen. We offer warranty on all of our devices.All of our phones are used but in great Shape! Factory unlocked which means you can put any Sim Card  with service and it will work.Comes with:House chargerBuy with Confidence ",2,Local pickup (17 miles away),No shipping INFO!,17.0,,,"Chula Vista, CA",Chula Vista, CA,1 week 
3,778559900,Pixel 3 XL 64GB unlocked,400,Used (normal wear),"Pixel 3 xl. Excellent condition, always protected with case. No scratches. Selling because switching to iOS. Amazon link:Google - Pixel 3 XL with 64GB Memory Cell Phone (Unlocked) - Clearly White {url removed}",3,Local pickup (5 miles away),No shipping INFO!,5.0,,,"San Diego, CA",San Diego, CA,3 weeks 
4,765518911,Google pixel 3 TRADE,123,Used (normal wear),Google pixel 3 black 64GB has a small crack on the screen protector but works fine comes with case looking to trade for a iphone I AM NOT SELLING IT,3,Local pickup (10 miles away),No shipping INFO!,10.0,,,"San Diego, CA",San Diego, CA,1 month 
5,790762515,Google Pixel 3,275,New (never used),Brand New (64 gb) ,1,No delivery INFO!,"Ships from Newark, DE for $7.49",,"Newark, DE",7.49,"Newark, DE",Newark, DE,5 hours 
6,756041037,"Google Pixel 3 XL, Unlocked, 64GB, Factory Unlocked",450,Open box (never used),Like new,5,Local pickup (3 miles away),No shipping INFO!,3.0,,,"San Diego, CA",San Diego, CA,2 months 
7,674651599,Google Pixel 3 64GB unlocked,750,New (never used),"Brand new, still in box, never opened, Google Pixel 3 64GB for sale. It is the unlocked version of the model. Selling it for 750$",1,Local pickup (14 miles away),No shipping INFO!,14.0,,,"San Diego, CA",San Diego, CA,6 months 
8,788645855,Google Pixel 3 XL - 64gb,380,Used (normal wear),Minor scuffs shown in photos. Will include type C charging cable and brick. Feel free to message me for any additional information ,5,Local pickup (28 miles away),No shipping INFO!,28.0,,,"Poway, CA",Poway, CA,4 days 
9,787486604,Google Pixel 3 XL - unlocked,350,Used (normal wear),Brand new - used for less than a month,3,Local pickup (10 miles away),No shipping INFO!,10.0,,,"San Diego, CA",San Diego, CA,6 days 
