,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,790223457,Samsung Galaxy S7 factory unlocked with any carrier,145.0,Open box (never used),Samsung Galaxy S7  factory unlocked with any carrier 32gb security features: Fingerprint Scanner Rear camera resolution: Rear Camera 12 MP ,7,Local pickup (19 miles away),No shipping INFO!,19.0,,,"Lakeside, CA",Lakeside, CA,5 hours 
1,789932539,Samsung Galaxy s7 Gold Platinum,100.0,Used (normal wear),"No scratches, no damage except slight wear on home button (see picture). Works great. Comes with a case, if needed/wanted.Verizon. ",3,Local pickup (21 miles away),No shipping INFO!,21.0,,,"Chula Vista, CA",Chula Vista, CA,13 hours 
2,789497327,Samsung Galaxy s7 edge (like new),200.0,Used (normal wear),It was used for a while but stored for most of the time. It is in very new condition. Orginally from AT&T but then had it on Metro. Comes with original box but no accessories.,2,Local pickup (15 miles away),No shipping INFO!,15.0,,,"Lincoln Acres, CA",Lincoln Acres, CA,1 day 
3,788637113,Samsung Galaxy S7 64GB,275.0,Used (normal wear),"Almost new, not used much. Works perfectly. $275 or better offer",2,Local pickup (24 miles away),No shipping INFO!,24.0,,,"San Diego, CA",San Diego, CA,2 days 
4,788151902,Samsung Galaxy S7 ANY CARRIER,120.0,Used (normal wear),Samsung galaxy S7Any carrierHas minor screen shadowGreat condition32GBTrusted Seller,9,Local pickup (23 miles away),No shipping INFO!,23.0,,,"Chula Vista, CA",Chula Vista, CA,4 days 
5,787795050,Samsung Galaxy S7 Edge (G935A),225.0,Reconditioned/Certified,"SAMSUNG GALAXY S7 EDGE 32GB SM-G935A UNLOCKED GSM 4G LTE SMARTPHONE -_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-(-⭐⭐⭐⭐PAYMENT METHODS⭐⭐⭐⭐-)  _____________________________________________________PAYPALBITCOINGOOGLE PAYVENMO (COMING SOON)(-⭐⭐⭐⭐FREE SHIPPING ⭐⭐⭐⭐-) _____________________________________________________(-👉👉PICK-UPS ARE NOT PERMITTED👈👈-)(-⭐⭐⭐⭐PRODUCT DESCRIPTION⭐⭐⭐⭐-) ____________________________________________ This Galaxy S7 Edge is in manufacturer refurbished condition. It is 100% functional and in near perfect cosmetic condition with the possibility of a few light hair marks. It will NOT come in its original packaging but will include a certified cable and UL approved power adapter. Headsets, SIM card and manual are NOT included. This Galaxy S7 Edge is fully functional with T-Mobile, AT&T and all other GSM networks. It will NOT work on Sprint, Verizon, Boost, Virgin Mobile or any other CDMA network. _____________________________________________ (-⭐⭐⭐⭐PACKAGE CONTENTS:⭐⭐⭐⭐-) - Galaxy S7 Edge - Lightning Micro USB Cable - UL Approved Power Adapter",6,Local pickup (19 miles away),No shipping INFO!,19.0,,,"Chula Vista, CA",Chula Vista, CA,5 days 
6,787494178,"Samsung Galaxy A10, metro pcs,new all original accessories, nuevo accesorios originales",129.0,New (never used),"Samsung Galaxy A1032gbNew all original accessoriesNuevo accesorios originalesMetro by TMobile only$129Ignore s7, s8,s9,S10,pixel,I phone,A20, LG, Motorola, Android, j7, Coolpad",9,Local pickup (15 miles away),Ships for $10.99,15.0,,10.99,"San Diego, CA",San Diego, CA,5 days 
7,786545991,"Samsung Galaxy S7 32GB No issues, works great • Factory unlocked, works with any carrier • Charger • Hablo español",159.99,Used (normal wear),"• 100% original, not refurbished, no ghost screen, optimal battery, no problems.• Factory unlocked, works with any company, you can do updates.• Charger and data cable.• Warranty.• Sorry no trades or buys.• Serious buyer, safe buy.• San ysidro/Chula Vista/Tijuana",6,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Chula Vista, CA",Chula Vista, CA,1 week 
8,785052676,Samsung Galaxy S7 32gb Factory Unlocked,140.0,Used (normal wear),"Good Battery Life and Clean IMEI, not reported stolen. We offer warranty on all of our devices.All of our phones are used but in great Shape! Factory unlocked which means you can put any Sim Card  with service and it will work.Comes with:House chargerBuy with Confidence ",4,Local pickup (15 miles away),No shipping INFO!,15.0,,,"National City, CA",National City, CA,1 week 
9,783675728,Samsung Galaxy S7 32Gb Factory Unlocked Any Carrier,140.0,Used (normal wear),"Good Battery Life and Clean IMEI, not reported stolen. We offer warranty on all of our phones.All of our phones are used but in great Shape! Factory unlocked which means you can put any Sim Card  with service and it will work.Comes with:House Charger Buy with confidence ",4,Local pickup (17 miles away),No shipping INFO!,17.0,,,"Chula Vista, CA",Chula Vista, CA,1 week 
10,780754497,Samsung galaxy S7,200.0,Used (normal wear),Works perfectly normal. Just has a few minor scratches. ,2,Local pickup (8 miles away),No shipping INFO!,8.0,,,"San Diego, CA",San Diego, CA,2 weeks 
11,778993044,Lot of 63 micro usb chargers,120.0,New (never used),Lot 63 new in the box micro USB samsung chargers compatible with galaxy s4 s5 s6 s7 any bose or beats by dre headphones or anything that chargers using micro USB adaptive fast charging ,9,Local pickup (6 miles away),Ships for $3.29,6.0,,3.29,"San Diego, CA",San Diego, CA,3 weeks 
12,790177883,Samsung Galaxy S7 32Gb Gold Unlocked,135.0,Used (normal wear),"Good Battery Life and Clean IMEI, not reported stolen. We offer warranty on all of our devices.All of our phones are used but in great Shape! Factory unlocked which means you can put any Sim Card  with service and it will work.Comes with:House chargerBuy with Confidence ",3,Local pickup (25 miles away),No shipping INFO!,25.0,,,"San Diego, CA",San Diego, CA,7 hours 
