,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,789630088,Google Pixel 4,Sold!,New (never used),"Google Pixel 4 64 GB""Oh So Orange""Model G020IFactory UnlockedNew in boxCash only ",3,Local pickup (16 miles away),No shipping INFO!,16.0,,,"Spring Valley, CA",Spring Valley, CA,3 hours 
1,788389096,Google Pixel 4 (64GB),Sold!,New (never used),New Google Pixel 4 (64GB)No TradesSerious Buyers OnlyVerizon CarrierIMEI# 356731100533603$400,3,Local pickup (110 miles away),No shipping INFO!,110.0,,,"Hesperia, CA",Hesperia, CA,2 days 
2,777775621,LG G8 Unlocked trade for Pixel XL 3,350,New (never used),Looking to trade/sell my basically brand new G8 factory unlocked for Google Pixel XL 3 or 4.Phone is paid off full and I'm the original owner. Thanks. ,1,No delivery INFO!,"Ships from Chandler, AZ for $7.49",,"Chandler, AZ",7.49,"Chandler, AZ",Chandler, AZ,3 weeks 
3,788654584,Google pixel 4,470,New (never used),Google pixel 4 128gb 6gb ramIts factory unlocked can used with any carrier Its brand new never used or openCome with box everything Only cash not trade please Firm on price  $470Sale in store 799 plus tax ,5,Local pickup (20 miles away),No shipping INFO!,20.0,,,"El Cajon, CA",El Cajon, CA,2 days 
4,781688979,Google Pixel 3 Brand new,300,Open box (never used),"1. Brand New Google Pixel 3. 2. 64 gb.3. Has the best Camera you can ever ask for in a phone.4. Unlocked phone.5. Amazing touch response, camera and disolay6. Unlimited photo video Storage with google .7. Phone onlyCondition: Like new",11,No delivery INFO!,"Ships from El Cerrito, CA for $7.49",,"El Cerrito, CA",7.49,"El Cerrito, CA",El Cerrito, CA,2 weeks 
5,766222635,Pixel 3 XL - 64GB Unlocked Google phone 📱,400,Used (normal wear),"This Google Pixel 3 XL is in great condition. No scratches, never been dropped. Works perfectly fine with no issues. It's like new and only getting rid of it because I have the new Pixel 4 XL now. No trades, thanks",7,No delivery INFO!,"Ships from Hillsboro, OR for $7.49",,"Hillsboro, OR",7.49,"Hillsboro, OR",Hillsboro, OR,1 month 
6,788611420,Google pixel 4 XL unlocked new,540,Open box (never used),New Google pixel 4 XLUNLOCKED NO SCRATCHES OR CRACKSPHONE ONLYPICK UP FIRST COME FIRST SERVE,4,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Chula Vista, CA",Chula Vista, CA,2 days 
7,788536054,Google Pixel 4 XL (64GB),Sold!,New (never used),New Google Pixel 4 XL (64 GB)No Trades Serious Buyers Only(Verizon Carrier)$500 ,3,Local pickup (111 miles away),No shipping INFO!,111.0,,,"Hesperia, CA",Hesperia, CA,2 days 
9,788006430,Google pixel 4,500,Open box (never used),"Pixel 4, ATT, 64 gig. Comes with case and screen protector ",2,Local pickup (12 miles away),No shipping INFO!,12.0,,,"Coronado, CA",Coronado, CA,3 days 
10,787880702,Google pixel 4,280,Used (normal wear),Used still new u locked to any carrier came from At&t will ship,3,No delivery INFO!,"Ships from Boston, MA for $3.29",,"Boston, MA",3.29,"Boston, MA",Boston, MA,3 days 
