,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,783935774,"iPhone X 64gb, near perfect condition",400,Used (normal wear),"Used only a couple months. Like new condition, no scratches or damage. Was w9th Verizon, but I'm pretty sure it works with any carrier. Selling for $400. This is the cheapest price for an iPhone X on Offer Up!",3,Local pickup (19 miles away),No shipping INFO!,19.0,,,"El Cajon, CA",El Cajon, CA,12 minutes 
1,783931732,Tempered Glass Screen Protectors iPhone X,10,Open box (never used),Or best offer,2,Local pickup (12 miles away),No shipping INFO!,12.0,,,"San Diego, CA",San Diego, CA,19 minutes 
2,777092263,iPhone X | 256GB | AT&T,530,Used (normal wear),"I upgraded to the iPhone 11 so I have no use for this!It has light wear on the sides and back glass, but other than that, the phone works PERFECT!(Charger included)",4,Local pickup (20 miles away),No shipping INFO!,20.0,,,"Chula Vista, CA",Chula Vista, CA,1 week 
3,783928886,Iphone x t mobile,400,Used (normal wear),"The problem is that the face id is not working for some reason, but it can get fix easily.",4,Local pickup (19 miles away),No shipping INFO!,19.0,,,"El Cajon, CA",El Cajon, CA,24 minutes 
4,783930852,iPhone Charger,10,New (never used),Pick up in west covina sharlleniPhone Charger Cable 3FT/6FT/10FT Lightning Cable SHARLLEN MFi Certified Fast USB iPhone Charging Cable Long Nylon Braided Cord Compatible iPhone XS/Max/XR/X/8/8Plus/7/7P/6/6 P/6S/iPad 5Pack (Black),4,Local pickup (90 miles away),Ships for $3,90.0,,3,"West Covina, CA",West Covina, CA,21 minutes 
5,783908387,iPhone X,300,Open box (never used),Phones in perfect condition. Phone is locked. Serious buyers only. Comes with screen protector and an otter box. Please don’t contact me for low ballers. I will ignore.,3,Local pickup (13 miles away),No shipping INFO!,13.0,,,"San Diego, CA",San Diego, CA,1 hour 
6,783906660,ALL ORIGINAL BRAND NEW CHARGERS $10 each Cash only,9,Open box (never used),ALL ORIGINAL BRAND NEW CHARGERS $10 Cash only Must pick upiPhone X iPhone XS Max iPhone 8iPhone,2,Local pickup (24 miles away),No shipping INFO!,24.0,,,"Escondido, CA",Escondido, CA,1 hour 
7,783906488,iPhone X (2) glass screen protector,20,New (never used),Never used brand new. ,3,Local pickup (11 miles away),No shipping INFO!,11.0,,,"San Diego, CA",San Diego, CA,1 hour 
8,771409880,iPhone X,550,Used (normal wear),Like new iPhone X for sale,2,Local pickup (28 miles away),No shipping INFO!,28.0,,,"San Diego, CA",San Diego, CA,3 weeks 
9,783905576,IPHONE X XS MOPHIE JUICE PACK CELLPHONE CASE WIRELESS CHARGING - BLACK,29,Open box (never used),Extend the life of your phone up to a total of 30 hours with the push of a button.✅ WIRELESS CHARGING✅ HIGH IMPACT PROTECTION CASE$50 each or best offerNever fuss with cables again. juice pack air battery case is compatible with Qi and other wireless systems and maintains your phone’s wireless functionality with virtually any charging pad. Cash only no trades Low offers will be ignored,4,Local pickup (25 miles away),No shipping INFO!,25.0,,,"Escondido, CA",Escondido, CA,1 hour 
10,783890383,iPhone X 256GB,525,Used (normal wear),"Price is Firm 👈🏻👈🏻👈🏻👈🏻👈🏻 NO SHIPPINGPlease read the entire ad as most of your questions are answered below. Works for: AT&T & CricKet Networks iPhone X - 256GB - Silver ColorGood Condition. Has a screen protector installed. Everything works great. Bring your SIM card and make a test call!Reset Back to Factory Settings. There is NO iCloud lock or any activation lock. It’s fully wiped and ready for you to use the phone. Price is Firm 👈🏻👈🏻👈🏻👈🏻👈🏻I consider trades for other Apple Products (iPhone / iPad / MacBook / Watch). Tell me the model, carrier, GB, condition. I accept cracked iPhones. AND HOW MUCH YOU WANT IN TRADE FOR IT.",4,Local pickup (11 miles away),No shipping INFO!,11.0,,,"San Diego, CA",San Diego, CA,1 hour 
11,783887465,VERIZON IPHONE X 64GB,500,Used (normal wear),"Like new iphone x, bought the iphone pro so no longer need this one! Zero scratches always had a case on it 64gbVerizonPick up only",4,Local pickup (6 miles away),No shipping INFO!,6.0,,,"San Diego, CA",San Diego, CA,1 hour 
12,783940636,IPhone X 64 gb Unlocked,400,Used (normal wear),Works perfectly. Can Also Ship Depending Where.,2,No delivery INFO!,"Ships from Chicago, IL for $7",,"Chicago, IL",7,"Chicago, IL",Chicago, IL,3 minutes 
13,726017698,iPhone x black with life proof case headphones,650,Open box (never used),In prefix condition ready for you to set up.,3,Local pickup (21 miles away),No shipping INFO!,21.0,,,"Lakeside, CA",Lakeside, CA,3 months 
14,783877032,"NANAMI: Fast Wireless Charger, NANAMI Qi Certified Charger Wireless Charging Stand Compatible iPhone 11/11 Pro/11 Pro Max/XS/XS Max/XR/X/8/8 Plus,Sam",15,New (never used),No description. Ask seller for more details,6,Local pickup (10 miles away),No shipping INFO!,10.0,,,"San Diego, CA",San Diego, CA,1 hour 
15,783871691,Supreme Mophie Juice Pack Air BLACK,110,New (never used),brand new.never used.never removed from box slide.black.apple iphone 7apple iphone 8wireless charging.juice pack air.slim protective battery case.supreme x mophieOEM all,4,Local pickup (25 miles away),Ships for $7,25.0,,7,"Chula Vista, CA",Chula Vista, CA,2 hours 
16,783842780,Broken iPhone I phone ten x 64 gb,300,Used (normal wear),Front and back glass are broken Screen still works Frame slightly bent iPhone X ,5,Local pickup (5 miles away),No shipping INFO!,5.0,,,"San Diego, CA",San Diego, CA,2 hours 
17,783817736,I PHONE X 64G,625,Used (normal wear),"* iPhone X 64GB Silver ( Like New )* Comes with original box, charger* Otter Box Case included* Unlocked for all mobile carriers* Bring your own sim card & see for yourself !!",6,Local pickup (23 miles away),No shipping INFO!,23.0,,,"Vista, CA",Vista, CA,3 hours 
18,754605601,iPhone X 64gb space grey UNLOCKED,600,Reconditioned/Certified,"Not locked , will be formatted ready for use , UNLOCKED , front and back cameras are a bit scratched but other than that everything works for me. 64gb space grey UNLOCKED CARRIER",5,Local pickup (8 miles away),No shipping INFO!,8.0,,,"San Diego, CA",San Diego, CA,1 month 
19,783812747,STEELSERIES NIMBUS Model: GC-00004,30,New (never used),"CompatibilityiPhone X & Newer, 8, 8 PLUS, 7S, 7S PLUS, 6S, 6S PLUS, 6, 6 PLUS, 5, 5C, 5SiPad PRO & Newer, MINI 4 & Newer, MINI 3,MINI 2, (4TH GENERATION), AIR, AIR 2 IPOD TOUCH (6TH GENERATION) & NewerApple TVAPPLE TV® 4KAPPLE TV® (4TH GENERATION)& Newer",2,Local pickup (23 miles away),Ships for $7,23.0,,7,"San Marcos, CA",San Marcos, CA,3 hours 
20,783808918,GAMEVICE Model: GV157,50,New (never used),It may be compatible with XR and 11. I use it on my iphone 6 and XS. selling for 50 OBO. In great condition.iPhone ModelsiPhone XSiPhone XiPhone 8iPhone 8 PlusiPhone 7iPhone 7 PlusiPhone 6siPhone 6s PlusiPhone 6iPhone 6 Plus,2,Local pickup (23 miles away),Ships for $3,23.0,,3,"San Marcos, CA",San Marcos, CA,3 hours 
21,783799888,iPhone X space grey 64 GB,575,Used (normal wear),No cracks great condition!,2,Local pickup (24 miles away),No shipping INFO!,24.0,,,"San Diego, CA",San Diego, CA,4 hours 
22,783794324,iPhone X (64g) brand new w/ Applecare+ (4/2020),750,New (never used),"Brand New from Apple store. Unlocked. All carriers even international.  Model a1865. 64g. Comes with Apple Care+ with zero claims, until 4/2020. ",6,Local pickup (12 miles away),No shipping INFO!,12.0,,,"Coronado, CA",Coronado, CA,4 hours 
23,510080924,Otter box for iPhone X,30,Open box (never used),Put it on my phone said naw thx. Lol just selling. ,3,Local pickup (10 miles away),No shipping INFO!,10.0,,,"San Diego, CA",San Diego, CA,1 year 
24,783789206,iPhone X,350,Used (normal wear),Back is cracked but DOES NOT effect the phone. Unlocked carrier 64 gigsWilling to trade to X or newer plus cash,3,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Spring Valley, CA",Spring Valley, CA,4 hours 
25,783767942,iPhone X 256gb,400,Reconditioned/Certified,"Upgraded phones just trying to get rid of my oldOne. No issues whatsoever, it’s a replacement from apple.",3,Local pickup (25 miles away),No shipping INFO!,25.0,,,"Chula Vista, CA",Chula Vista, CA,4 hours 
26,783760842,Iphone x (black listed),350,Open box (never used),In a mint condition no scratches or cracks anywhere on the phone.,3,Local pickup (13 miles away),Ships for $3,13.0,,3,"Coronado, CA",Coronado, CA,5 hours 
