,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,788466827,Galaxy S8 Active,100.0,Used (normal wear),"Samsung Galaxy S8 Active. 64GB. Solid condition with a slight scratch on the bottom right corner of the frame. Screen is GOOD. It is a water, shock, and dust-resistant device housed in a durable metal frame. This phone is meant to take a beating. I had the S7 Active and this phone and loved them both. Finally made the jump to iPhone. I unlocked this phone from AT&T and moved it to T-MOBILE before I factory reset it. Meet In the PB area on Friday (tomorrow). Can throw in a charger and pelican case free. ",4,Local pickup (6 miles away),No shipping INFO!,6.0,,,"San Diego, CA",San Diego, CA,12 hours 
1,788345863,Samsung Galaxy S8 64Gb Factory Unlocked Any Carrier,245.0,Used (normal wear),"Good Battery Life and Clean IMEI, not reported stolen. We offer warranty on all of our devices.All of our phones are used but in great Shape! Factory unlocked which means you can put any Sim Card  with service and it will work.Comes with:House chargerBuy with Confidence ",3,Local pickup (17 miles away),No shipping INFO!,17.0,,,"Chula Vista, CA",Chula Vista, CA,1 day 
2,788150761,Samsung Galaxy S8Plus any carrier 64GB,260.0,Used (normal wear),Samsung Galaxy S8 plus64GBAny carrierTrusted sellerGreat condition,8,Local pickup (24 miles away),No shipping INFO!,24.0,,,"Chula Vista, CA",Chula Vista, CA,1 day 
3,787652887,Samsung galaxy s8 plus,150.0,Used (normal wear),Samsung galaxy s8 plus unlocked for any carrier 64 gb has crack on both sides but still works great the screen has no issues 150 OBO,2,Local pickup (6 miles away),No shipping INFO!,6.0,,,"San Diego, CA",San Diego, CA,2 days 
4,787185403,"Galaxy A20, metro pcs only, brand new, nuevo accesorios originales",159.0,New (never used),"Samsung Galaxy A20 metro pcsCase and tempered glass screen protector includedTodo nuevo accesorios originalesIncluye case y vidrio templado$159Ignore s7, s8,s9,S10,pixel,I phone,A20, LG, Motorola, Android, j7, Coolpad",5,Local pickup (14 miles away),Ships for $10.99,14.0,,10.99,"San Diego, CA",San Diego, CA,3 days 
5,787112131,Samsung Galaxy S8+,200.0,Used (normal wear),SM-G955U,4,Local pickup (9 miles away),No shipping INFO!,9.0,,,"San Diego, CA",San Diego, CA,3 days 
6,786195319,Samsung galaxy S8 unlocked,240.0,Used (normal wear),pequeño detalle en pantalla pero ninguna falla en el teléfono.. 64 gb desbloqueado!!!,2,Local pickup (24 miles away),No shipping INFO!,24.0,,,"San Diego, CA",San Diego, CA,5 days 
7,785347968,Samsung Galaxy s8 Active,250.0,Open box (never used),"Factory Reset Galaxy s8 ActiveT MobileComes with: Screen Protector, Case, Phone Charger",6,Local pickup (24 miles away),No shipping INFO!,24.0,,,"Chula Vista, CA",Chula Vista, CA,6 days 
8,784571252,Samsung Galaxy s8 T-Mobile + Unlocked,270.0,Used (normal wear),"Samsung Galaxy S8 smartphone in great condition. Originally from T-Mobile but it has been unlocked for GSM global carriers (AT&T, Telcel, etc.).Great condition, almost like new. Only phone included. Factory reset.Open to offers but No lowballers.Tags: cell, cellphone, phone, S-8, S 8, tmobile, ATT, MovistarCondition: Great,  almost Like new",4,Local pickup (10 miles away),No shipping INFO!,10.0,,,"San Diego, CA",San Diego, CA,1 week 
9,784413488,SAMSUNG GALAXY S8+ PLUS T-Mobile Metro pcs,320.0,Used (normal wear),SAMSUNG GALAXY S8+ PLUS T-Mobile Metro pcs,4,Local pickup (2 miles away),No shipping INFO!,2.0,,,"San Diego, CA",San Diego, CA,1 week 
